id,priority,phase,area,title,description,acceptance_criteria,test_mcp,required_skills,required_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes,spec_id,exp_id,run_id,remote_state,artifact_path,branch,commit_hash,next_action,updated_at
APPROVAL-01,P0,prepare,spec,Freeze the approved end-to-end V0 contract,Register the user-approved decision to obtain paired real AP50 before further carrier optimization.,Approved Spec freezes r2 scale1 current P1 mechanism paired smoke and 20-epoch C0/M1 while preserving formal gate semantics.,manual,research-brainstorming,,Check the Spec matches the user-approved execution reset.,Check no carrier tuning 200-epoch robustness or formal UE claim entered scope.,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-E2E-V0-MAP50-v1.md:1,approval_evidence:user_message_2026-08-11;execution_reset:true;no_gpu_authorized_by_spec_write:true,TAUSB-SDH-E2E-V0-MAP50-v1,TAUSB-SDH-E2E-V0-S0-E20,,not_applicable,docs/research/specs/TAUSB-SDH-E2E-V0-MAP50-v1.md,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,FEASIBILITY-LOADER-01,2026-08-11
FEASIBILITY-LOADER-01,P0,implement,carrier,Add exact-spec r2 feasibility loading without weakening formal SDH,Allow only the frozen r2 checkpoint and known non-critical gate failures to enter the V0 path while formal loading remains fail closed.,Exact checkpoint and metrics hashes are required; all hiding checks except RMS and high-frequency pass; formal loader behavior is unchanged.,local_cli,karpathy-guidelines,,Trace protocol config to checkpoint schema hash gate flags and loaded carrier.,Regression-test formal P1 rejection and every wrong hash or unexpected failed check.,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-E2E-V0-MAP50-v1.md:55;ue_project/ue_framework/methods/sdh_experiment.py:55;ue_project/ue_framework/methods/sdh_experiment.py:626;ue_project/tests/test_sdh_feasibility_loader.py:1,depends_on:APPROVAL-01;protocol_exact:true;formal_rollback_required:true;picked_reason:first unmet implementation dependency after approved Spec;validation:16 focused tests passed;validation:Python3.8 AST pass;validation:diff-check pass;evidence:r2 metrics SHA c7d1b120 and checkpoint SHA a765e27a bound;review:only exact two failed checks accepted;regression:formal failed gate remains rejected,TAUSB-SDH-E2E-V0-MAP50-v1,TAUSB-SDH-E2E-V0-S0-E20,,not_applicable,,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,MECH-V0-STATE-01,2026-08-11
MECH-V0-STATE-01,P0,implement,mechanism,Persist a provenance-complete P1 feasibility state,Run the unchanged T0/T1/P0/P1 updates and save P1 for V0 even when numerical mechanism thresholds fail if operational invariants pass.,Payload records real hiding and mechanism gate flags plus r2 and mechanism provenance; non-finite support budget or missing P1 still fail closed.,local_cli,karpathy-guidelines,,Check P1 carrier state is the actual optimized arm and not base carrier or T0.,Check formal frozen P1 is still written only on true mechanism PASS.,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-E2E-V0-MAP50-v1.md:72;ue_project/ue_framework/methods/sdh_experiment.py:737;ue_project/ue_framework/methods/sdh_experiment.py:1210;ue_project/ue_framework/methods/sdh_materializer.py:134;ue_project/tests/test_sdh_feasibility_loader.py:207,depends_on:FEASIBILITY-LOADER-01;scientific_gate_flags_preserved:true;picked_reason:next dependency after exact r2 loader closed;validation:51 SDH focused tests passed;validation:Python3.8 AST pass;validation:diff-check pass;review:P1 reloaded from arm-tagged saved state and finite budget checked;review:feasibility payload stores real hiding false and real mechanism decision;regression:formal state condition excludes V0 and remains PASS-only,TAUSB-SDH-E2E-V0-MAP50-v1,TAUSB-SDH-E2E-V0-S0-E20,,not_applicable,,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,CONFIG-PAIRED-01,2026-08-11
CONFIG-PAIRED-01,P0,implement,config,Add V0 mechanism smoke and paired C0/M1 configs,Bind exact protocol paths hashes run roots seed 0 bbox support no EOT/JND and victim epochs 1 or 20.,Only V0 permits failed scientific gates and epochs 1/20; formal tausb_sdh still requires PASS and 200 epochs; C0 count 0 and M1 count 6095.,local_cli,karpathy-guidelines,,Trace every config field to its runtime and materializer sink.,Check wrong arm ratio count epochs support or feature switch fails closed.,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-E2E-V0-MAP50-v1.md:105;ue_project/ue_framework/config.py:357;ue_project/ue_framework/stages/generate.py:59;ue_project/ue_framework/tools/bind_tausb_sdh_e2e_v0.py:1;ue_project/ue_framework/configs/tausb_sdh_e2e_v0_mechanism.yaml:1;ue_project/ue_framework/methods/sdh_materializer.py:220;ue_project/tests/test_sdh_e2e_v0_config.py:1,depends_on:MECH-V0-STATE-01;separate_roots:true;paired_protocol:true;picked_reason:next dependency after P1 feasibility persistence closed;validation:38 focused tests passed;validation:Python3.8 AST pass;validation:binder CLI help pass;validation:diff-check pass;review:four arm configs generated only after actual state hashes exist;review:selection labels hash-bound;regression:formal config remains PASS-only E200,TAUSB-SDH-E2E-V0-MAP50-v1,TAUSB-SDH-E2E-V0-S0-E20,,not_applicable,,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,EVAL-COMPARE-01,2026-08-11
EVAL-COMPARE-01,P0,implement,evaluation,Add V0 provenance and paired VOC20 comparison,Carry failed-gate provenance into metrics and compare two explicit C0/M1 metrics files with all 20 named AP50 values.,Outputs per-class AP50 drop retention and pilot decision; C0/M1 hashes seed config and clean val must match; no formal mechanism PASS is fabricated.,local_cli,karpathy-guidelines,,Check metrics source identity and AP direction signs.,Check missing classes zero baseline wrong counts or mismatched protocol fail closed.,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-E2E-V0-MAP50-v1.md:123;ue_project/ue_framework/methods/sdh_evaluation.py:143;ue_project/ue_framework/stages/evaluate.py:502;ue_project/ue_framework/stages/evaluate.py:625;ue_project/ue_framework/tools/compare_tausb_sdh_e2e_v0.py:1;ue_project/tests/test_sdh_evaluation.py:205,depends_on:CONFIG-PAIRED-01;claim_status:directional_feasibility;picked_reason:next dependency after paired runtime contract closed;validation:31 evaluation tests passed;validation:Python3.8 AST pass;validation:comparison CLI help pass;validation:diff-check pass;review:all VOC20 AP drop signs are C0-minus-M1;review:success failure and inconclusive bands independent;regression:formal mechanism PASS requirement unchanged,TAUSB-SDH-E2E-V0-MAP50-v1,TAUSB-SDH-E2E-V0-S0-E20,,not_applicable,,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,LOCAL-VALIDATION-01,2026-08-11
LOCAL-VALIDATION-01,P0,validate,tests,Validate V0 and formal rollback locally,Run focused unit integration compile Python3.8 config materializer provenance and comparison tests without GPU.,All new tests and prior SDH formal tests pass; scale1 r2 exact hash path works; formal gates and 200-epoch constraints remain intact.,local_cli,karpathy-guidelines,,Check tests reach real loader materializer evaluation and comparison sinks.,Check feature-off wrong-hash and old formal configs against regressions.,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-E2E-V0-MAP50-v1.md:137;ue_project/tests/test_sdh_feasibility_loader.py:1;ue_project/tests/test_sdh_e2e_v0_config.py:1;ue_project/tests/test_sdh_materializer.py:1;ue_project/tests/test_sdh_evaluation.py:1,depends_on:EVAL-COMPARE-01;no_gpu:true;picked_reason:all implementation dependencies closed;validation:103 focused tests passed;validation:all scoped py_compile pass;validation:all scoped Python3.8 AST pass;validation:CLI help pass;validation:CSV 23x28 one active valid states;validation:real VOC selection 200=40person+160free hash ced5d8ce;regression:formal SDH gates and E200 tests pass,TAUSB-SDH-E2E-V0-MAP50-v1,TAUSB-SDH-E2E-V0-S0-E20,,not_applicable,,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,GIT-SNAPSHOT-01,2026-08-11
GIT-SNAPSHOT-01,P0,prepare,git,Freeze and push the locally reviewed V0 implementation,Commit only the approved Spec CSV implementation configs tests and review packet while preserving unrelated dirty files.,Scoped staged diff and credential scan pass; no dataset checkpoint weights temp artifacts or unrelated changes; normal non-force push succeeds.,local_cli,karpathy-guidelines,,Inspect staged names sizes diff and exact validation evidence.,Confirm branch commit reproduces local tests and excludes all user dirty files.,已完成,已完成,已完成,已提交,codex,docs/research/specs/TAUSB-SDH-E2E-V0-MAP50-v1.md:171;AGENTS.md:1,depends_on:LOCAL-VALIDATION-01;no_force_push:true;implementation_commit:7330a76;scoped_files:16;diff_check:pass;credential_scan:pass;push:normal_non_force_success,TAUSB-SDH-E2E-V0-MAP50-v1,TAUSB-SDH-E2E-V0-S0-E20,,not_applicable,,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,7330a76,PRERUN-MECH-01,2026-08-11
PRERUN-MECH-01,P0,review,review,Review the exact r2 to P1 V0 mechanism run,Audit exact pushed commit input hashes current mechanism equations fresh paths and cost guard before GPU.,Pass binds one command tmux root logs hashes 20-minute cap auto-shutdown and forbids victim or AP50.,manual,pre-run-implementation-review,,Trace config to r2 loader T0/T1/P0/P1 and feasibility payload.,Check old artifacts untouched and diagnostic failure cannot be relabeled PASS.,已完成,已完成,已完成,已提交,codex,docs/research/specs/TAUSB-SDH-E2E-V0-MAP50-v1.md:189;issues/TAUSB-SDH-E2E-V0-MAP50-v1.review.md:1;research_workspace/experiments/TAUSB-SDH-E2E-V0-S0-E20/pre_run/remote_input_audit.json:1;research_workspace/experiments/TAUSB-SDH-E2E-V0-S0-E20/pre_run/mechanism_run_contract.json:1,depends_on:GIT-SNAPSHOT-01;hard_gate:REMOTE-MECH-01;review_attempt_1:blocking gap fixed in 3a7a1aa;validation:105 tests pass;validation:real local and remote VOC manifests exact;validation:remote real loader CPU probe pass;remote_checkout:/root/tausb-sdh-checkouts/e2e-v0-3a7a1aa-worktree;config_sha256:46f757af;cost_guard_seconds:1200;auto_shutdown:true;pre_run_result:pass;pre_run_code_commit:3a7a1aaff912d0904794a91a4d3512d18b5c69fa;gated_run:REMOTE-MECH-01;evidence_commit:27e434d;no_card_shutdown:confirmed_connection_refused,TAUSB-SDH-E2E-V0-MAP50-v1,TAUSB-SDH-E2E-V0-S0-E20,,audited_no_card_shutdown_confirmed,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-E20-MECH,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,3a7a1aaff912d0904794a91a4d3512d18b5c69fa,REMOTE-MECH-01,2026-08-11
REMOTE-MECH-01,P0,remote,experiment,Run capped r2 to P1 V0 mechanism,Execute only the reviewed mechanism command on GPU and auto-shutdown on success failure timeout or bug guard.,Finite progress GPU process status mechanism metrics P1 state and provenance appear within cap; no victim starts.,remote_cli,autodl-remote-run-snippet,,Check exact commit config r2 hash and fresh root are active.,Check shutdown state and no smoke or E20 process starts.,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SDH-E2E-V0-MAP50-v1.md:68,gated_by:PRERUN-MECH-01;cost_cap_minutes:20;auto_shutdown:true,TAUSB-SDH-E2E-V0-MAP50-v1,TAUSB-SDH-E2E-V0-S0-E20,MECH-V0-S0-R1,not_started,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-E20-MECH,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,MECH-PULL-01,2026-08-11
MECH-PULL-01,P0,remote,artifacts,Pull and verify minimal mechanism evidence,Pull status mechanism metrics P1 feasibility state hash logs and cost guard without datasets or weights.,Required hashes verify and actual decision flags are preserved; checkpoint itself remains remote unless needed for no-card binding.,local_and_remote_cli,autodl-remote-pull-manifest,,Check selected file scope and canonical-ready hash identity.,Check no large artifact overwrite credentials or r2 mutation.,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SDH-E2E-V0-MAP50-v1.md:76,depends_on:REMOTE-MECH-01,TAUSB-SDH-E2E-V0-MAP50-v1,TAUSB-SDH-E2E-V0-S0-E20,MECH-V0-S0-R1,not_started,research_workspace/experiments/TAUSB-SDH-E2E-V0-S0-E20/remote_artifacts/mechanism,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,BIND-P1V0-01,2026-08-11
