id,priority,phase,area,title,description,acceptance_criteria,test_mcp,required_skills,required_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes,spec_id,exp_id,run_id,remote_state,artifact_path,branch,commit_hash,next_action,updated_at
SPEC-01,P0,plan,research-contract,冻结最小修复边界,只修复gradient-reachable bilinear resize并冻结全部方法语义,用户批准且不包含调参victim或AP50,manual,karpathy-guidelines,,逐节核对父审计和当前方法,确认未恢复旧TAUSB或改变损失路由,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-P1-DET-RESIZE-FIX-v1.md:1,approved 2026-08-29,TAUSB-SDH-DGCAIP-P1-DET-RESIZE-FIX-v1,TAUSB-SDH-DGCAIP-S0-P1-DET-RESIZE-FIX,,not_applicable,docs/research/specs/TAUSB-SDH-DGCAIP-P1-DET-RESIZE-FIX-v1.md,codex/tausb-sdh-dgcaip-p1-det-resize-fix-v1,,PATH-01,2026-08-29
PATH-01,P0,inspect,gradient-path,证明resize反向可达性,确认host resize不入图且delta到box resize进入adapter梯度,每条bilinear路径有reachability证据且范围不外扩,local_pytest,karpathy-guidelines,,核对autograd graph和实际调用点,feature-off与其他renderer不变,未开始,未开始,未开始,未提交,codex,ue_project/ue_framework/methods/semantic_hiding_carrier.py:264,发现其他可达路径则停止并修订Spec,TAUSB-SDH-DGCAIP-P1-DET-RESIZE-FIX-v1,TAUSB-SDH-DGCAIP-S0-P1-DET-RESIZE-FIX,,not_started,ue_project/tests/test_semantic_hiding_carrier.py,codex/tausb-sdh-dgcaip-p1-det-resize-fix-v1,,RESIZE-01,2026-08-29
RESIZE-01,P0,implement,deterministic-resize,实现separable bilinear helper,固定align_corners false权重并用两次matmul保留adapter梯度,forward和CPU gradient parity通过且无CPU往返,local_pytest,karpathy-guidelines,,核对坐标边界dtype和退化尺寸,旧carrier输出约束与API不变,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-P1-DET-RESIZE-FIX-v1.md:77,normal strict production共用同一路径,TAUSB-SDH-DGCAIP-P1-DET-RESIZE-FIX-v1,TAUSB-SDH-DGCAIP-S0-P1-DET-RESIZE-FIX,,not_started,ue_project/ue_framework/methods/semantic_hiding_carrier.py,codex/tausb-sdh-dgcaip-p1-det-resize-fix-v1,,TEST-01,2026-08-29
TEST-01,P0,validate,tests,完成无卡门禁,覆盖parity reachability support Linf overlap与方法hash不变,focused和相邻回归全部exit0,local_pytest,karpathy-guidelines,,每项Spec要求有失败断言,不修改R4 dirty evidence和历史artifacts,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-P1-DET-RESIZE-FIX-v1.md:112,任一失败禁止开GPU,TAUSB-SDH-DGCAIP-P1-DET-RESIZE-FIX-v1,TAUSB-SDH-DGCAIP-S0-P1-DET-RESIZE-FIX,,not_started,ue_project/tests/test_semantic_hiding_carrier.py,codex/tausb-sdh-dgcaip-p1-det-resize-fix-v1,,CONTROLLER-01,2026-08-29
CONTROLLER-01,P0,implement,cost-guard,生成单boot控制器,串行执行G0 G1 G2且总硬上限480秒并所有终态关机,G0失败不得进入G1且G1失败不得进入G2,local_cli,karpathy-guidelines,,核对trap数据盘和共享总预算,不得重试或在GPU上改代码,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-P1-DET-RESIZE-FIX-v1.md:134,CUBLAS环境必须在CUDA初始化前设置,TAUSB-SDH-DGCAIP-P1-DET-RESIZE-FIX-v1,TAUSB-SDH-DGCAIP-S0-P1-DET-RESIZE-FIX,,not_started,research_workspace/experiments/TAUSB-SDH-DGCAIP-S0-P1-DET-RESIZE-FIX/pre_run/,codex/tausb-sdh-dgcaip-p1-det-resize-fix-v1,,LOCAL-REVIEW-01,2026-08-29
LOCAL-REVIEW-01,P0,review,pre-run,审查精确可执行快照,核对代码范围测试配置hash控制器存储和声明边界,review为PASS且绑定唯一commit和config hash,manual,karpathy-guidelines,,检查staged白名单与dirty排除,相邻回归和feature-off保持,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-P1-DET-RESIZE-FIX-v1.md:201,未通过不得推送和远端执行,TAUSB-SDH-DGCAIP-P1-DET-RESIZE-FIX-v1,TAUSB-SDH-DGCAIP-S0-P1-DET-RESIZE-FIX,,not_started,research_workspace/experiments/TAUSB-SDH-DGCAIP-S0-P1-DET-RESIZE-FIX/pre_run/PRERUN-REVIEW-01.md,codex/tausb-sdh-dgcaip-p1-det-resize-fix-v1,,SNAPSHOT-01,2026-08-29
SNAPSHOT-01,P0,deliver,git,建立并普通推送修复快照,仅提交Spec白名单代码测试配置控制器和review,远端同名分支精确包含已验证commit,git_remote,karpathy-guidelines,,核对git diff和未提交用户证据,推送后本地测试仍通过,未开始,未开始,未开始,未提交,codex,https://github.com/gql119/autodl-tmp,用户已授权后续普通非force推送,TAUSB-SDH-DGCAIP-P1-DET-RESIZE-FIX-v1,TAUSB-SDH-DGCAIP-S0-P1-DET-RESIZE-FIX,,not_started,,codex/tausb-sdh-dgcaip-p1-det-resize-fix-v1,,REMOTE-NOCARD-01,2026-08-29
REMOTE-NOCARD-01,P0,review,remote-no-card,核验远端exact checkout,验证commit配置输入hash数据盘unique root测试和无GPU任务,所有绑定一致且无卡测试exit0,remote_cpu,karpathy-guidelines,,不得启动GPU runner,不写系统盘或覆盖历史run,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-P1-DET-RESIZE-FIX-v1.md:112,无卡通过后才请求开启GPU,TAUSB-SDH-DGCAIP-P1-DET-RESIZE-FIX-v1,TAUSB-SDH-DGCAIP-S0-P1-DET-RESIZE-FIX,,not_started,/root/autodl-tmp/tausb-dgcaip-runs/TAUSB-SDH-DGCAIP-S0-P1-DET-RESIZE-FIX,codex/tausb-sdh-dgcaip-p1-det-resize-fix-v1,,GPU-ONEBOOT-01,2026-08-29
GPU-ONEBOOT-01,P0,execute,gpu-gate,执行G0到G2唯一GPU门禁,通过算子microprobe后strict P1 replay再做两步真实写回,480秒内得到唯一标签并自动关机,remote_gpu,karpathy-guidelines,,精确绑定commit config和首批次,禁止重跑P2P4 victim和AP50,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-P1-DET-RESIZE-FIX-v1.md:134,任何失败立即终止后续阶段,TAUSB-SDH-DGCAIP-P1-DET-RESIZE-FIX-v1,TAUSB-SDH-DGCAIP-S0-P1-DET-RESIZE-FIX,P1-DET-RESIZE-S0,not_started,/root/autodl-tmp/tausb-dgcaip-runs/TAUSB-SDH-DGCAIP-S0-P1-DET-RESIZE-FIX,codex/tausb-sdh-dgcaip-p1-det-resize-fix-v1,,PULL-ANALYZE-01,2026-08-29
PULL-ANALYZE-01,P0,analyze,evidence,拉回并形成HEN结论,校验manifest并报告microprobe strict replay writeback关机和唯一标签,失败结果同样保留且不扩大因果结论,remote_pull,karpathy-guidelines,,按最小白名单拉取,不删除历史证据或数据,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-P1-DET-RESIZE-FIX-v1.md:187,证据上限100MiB,TAUSB-SDH-DGCAIP-P1-DET-RESIZE-FIX-v1,TAUSB-SDH-DGCAIP-S0-P1-DET-RESIZE-FIX,P1-DET-RESIZE-S0,not_started,research_workspace/experiments/TAUSB-SDH-DGCAIP-S0-P1-DET-RESIZE-FIX/,codex/tausb-sdh-dgcaip-p1-det-resize-fix-v1,,E20-HANDOFF-01,2026-08-29
