"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes","spec_id","exp_id","run_id","remote_state","artifact_path","branch","commit_hash","next_action","updated_at"
"APPROVAL-01","P0","approval","research","冻结 sparse paired E20 Spec","记录用户批准并冻结方法、数据、成本和声明边界。","Spec status=approved 且含批准日期和证据；不改变已冻结科学方法。","manual","mission-approved-doc","","核对批准对象与当前 SpecID 一致。","确认后续任务均引用相同 SpecID/ExpID。","已完成","已完成","已完成","未提交","codex","docs/research/specs/TAUSB-SDH-E2E-V0-SPARSE-E20-v3.md:1","depends_on:none;approval:user_explicit_approved;claim_boundary:single_seed_e20_feasibility","TAUSB-SDH-E2E-V0-SPARSE-E20-v3","TAUSB-SDH-E2E-V0-S0-E20-SPARSE","SPARSE-E20-S0-R1","not_applicable","docs/research/specs/TAUSB-SDH-E2E-V0-SPARSE-E20-v3.md","codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3","","SPARSE-IMPL-01","2026-08-12"
"SPARSE-IMPL-01","P0","implement","data","实现只物化 person 图像的稀疏投毒数据集","为 V0 增加显式稀疏协议：M1 只保存 6095 张 person PNG 和必要标签，10456 张非 person 图像直接引用原始 JPEG；C0 不复制图像。","保持 legacy 路径不变；M1 精确 6095 poisoned PNG + 10456 original JPEG；C0 0 poisoned；保存后重读 Linf 不超阈值且 support 外扰动为零。","local_cli","karpathy-guidelines","","逐行核对目标筛选、有效路径、标签解析、保存后重读和 provenance。","运行 legacy/feature-off regression，确认没有全量 PNG、hardlink 或旧 TAUSB fallback。","已完成","已完成","已完成","未提交","codex","docs/research/specs/TAUSB-SDH-E2E-V0-SPARSE-E20-v3.md:62;ue_project/ue_framework/stages/generate.py:1;ue_project/ue_framework/sparse_dataset.py:1","depends_on:APPROVAL-01;scope:sparse_materialization_only;implementation:sparse_mixed_list_v1;M1:6095_png_plus_10456_source_jpeg;C0:16551_source_jpeg;save_reload_linf_and_support_gate:true;legacy_layout:preserved","TAUSB-SDH-E2E-V0-SPARSE-E20-v3","TAUSB-SDH-E2E-V0-S0-E20-SPARSE","SPARSE-E20-S0-R1","not_applicable","ue_project/ue_framework/stages/generate.py","codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3","","MIXED-LIST-01","2026-08-12"
"MIXED-LIST-01","P0","implement","data","生成并审计 C0/M1 混合训练清单与 manifest","生成顺序一致的 16551 行 C0/M1 显式路径清单；manifest 记录 source/effective/label 路径、poison flag、P1/secret/file hash 与质量指标。","两清单 stem 集合和顺序一致且无重复；C0 全原始 JPEG；M1 计数精确；至少 64 个 clean JPEG 解码到 PNG 往返逐像素相同；任何缺标签或 silent drop 均 fail closed。","local_cli","karpathy-guidelines","","核对 path/hash/count/label schema 与 fail-closed 逻辑。","覆盖重复 stem、缺标签、错误 count、格式往返和保存后重载指标。","已完成","已完成","已完成","未提交","codex","docs/research/specs/TAUSB-SDH-E2E-V0-SPARSE-E20-v3.md:75;ue_project/ue_framework/sparse_dataset.py:1","depends_on:SPARSE-IMPL-01;real_voc_audit:16551_total_6095_target_0_missing_0_corrupt;ordered_stems_sha256:2e0f30546c8848b7f2b9c4239b49ff417dba3d51e2bd54b354fb0f299ea00011;label_manifest_sha256:022fbdace84899bf5d340cd07f2eb1d51834c3d0bd35b446f4fef11eb2a53216;clean_png_roundtrip:64_exact","TAUSB-SDH-E2E-V0-SPARSE-E20-v3","TAUSB-SDH-E2E-V0-S0-E20-SPARSE","SPARSE-E20-S0-R1","not_applicable","ue_project/ue_framework/sparse_dataset.py","codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3","","VICTIM-LIST-01","2026-08-12"
"VICTIM-LIST-01","P0","implement","training","让 victim 训练显式消费 mixed path list","为 V0-only 配置接入 Ultralytics train txt；保持 legacy images/train 目录训练不变；启动前真实解析标签并 probe 至少一个 batch。","config→runtime→data YAML→train list→dataloader 链路可追踪；所有图像有对应标签且类别范围正确；feature-off/legacy 回退通过。","local_cli","karpathy-guidelines","","核对 Ultralytics images→labels 映射和 active sink。","运行真实 VOC 无卡 dataloader batch probe 和旧配置回归。","已完成","已完成","已完成","未提交","codex","docs/research/specs/TAUSB-SDH-E2E-V0-SPARSE-E20-v3.md:92;ue_project/ue_framework/stages/train_victim.py:1","depends_on:MIXED-LIST-01;ultralytics_version:8.4.95;real_dataloader_scan:16551_images_0_backgrounds_0_corrupt;real_batch_shape:1x3x96x640;batch_labels:1;legacy_data_yaml_path:unchanged","TAUSB-SDH-E2E-V0-SPARSE-E20-v3","TAUSB-SDH-E2E-V0-S0-E20-SPARSE","SPARSE-E20-S0-R1","not_applicable","ue_project/ue_framework/stages/train_victim.py","codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3","","COST-CONTROLLER-01","2026-08-12"
"COST-CONTROLLER-01","P0","implement","orchestration","修订 sparse E20 成本磁盘门禁与单次 controller","按实际新增文件分项估算磁盘；按历史 full-VOC epoch curve 与 6095 张物化吞吐估时；复用 P1 后串行 C0/M1 E20 并在所有终态自动关机。","不使用 smoke 线性放大公式；磁盘需保留 3GiB；整体 GPU wall≤2h；10分钟无进度或20分钟 bug 诊断即停止；不重跑 mechanism/smoke。","local_cli","karpathy-guidelines","","核对阶段顺序、fresh roots、时间/磁盘公式和 shutdown trap。","覆盖空间不足、超时、信号、C0失败阻止M1、成功完成和历史曲线 replay。","已完成","已完成","已完成","未提交","codex","docs/research/specs/TAUSB-SDH-E2E-V0-SPARSE-E20-v3.md:101;ue_project/ue_framework/tools/run_tausb_sdh_sparse_e20.py:1","depends_on:VICTIM-LIST-01;controller:e20_only_no_smoke_no_mechanism;gpu_wall_cap_seconds:7200;idle_cap_seconds:600;materialize_cap_seconds:2400;per_arm_train_eval_cap_seconds:2400;disk_projected_new_bytes:3727519779;required_with_3GiB_reserve:6948745251;auto_shutdown_wrapper_sha256:a18a96de35e130d2af28a3781aa959094b04b8fbf20e2fcb2f9432d4d0c46ce2","TAUSB-SDH-E2E-V0-SPARSE-E20-v3","TAUSB-SDH-E2E-V0-S0-E20-SPARSE","SPARSE-E20-S0-R1","not_applicable","ue_project/ue_framework/tools/run_tausb_sdh_sparse_e20.py","codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3","","LOCAL-VALIDATION-01","2026-08-12"
"LOCAL-VALIDATION-01","P0","test","validation","运行 sparse 数据流与回归验证","运行 focused unit tests、真实 VOC 清单和标签审计、至少一 batch dataloader probe、Python3.8 AST/compile、CLI 和 diff 检查。","全部相关验证通过；没有 GPU 正式训练；本地机械证据不冒充有效性结果。","local_cli","karpathy-guidelines","","核对测试覆盖 Spec 原子判据。","运行 SDH E2E 既有回归并确认方法损失无非预期 diff。","已完成","已完成","已完成","未提交","codex","docs/research/specs/TAUSB-SDH-E2E-V0-SPARSE-E20-v3.md:135;ue_project/tests:1","depends_on:COST-CONTROLLER-01;focused_sdh_tests:92_passed;python3_12_compile:pass;python3_8_ast:8_files_pass;controller_cli:pass;bash_syntax:pass;diff_check:pass;real_voc_scan_and_batch:pass;c0_all_zero_stop_gate:pass;validation_gap:remote_instance_connection_refused_and_real_M1_generation_pending;claim:mechanical_only","TAUSB-SDH-E2E-V0-SPARSE-E20-v3","TAUSB-SDH-E2E-V0-S0-E20-SPARSE","SPARSE-E20-S0-R1","not_applicable","ue_project/tests","codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3","","GIT-SNAPSHOT-01","2026-08-12"
"GIT-SNAPSHOT-01","P0","git","versioning","创建并普通 push exact execution snapshot","只显式 stage 本 Spec/CSV/review 和本任务代码测试；不纳入数据、权重、artifacts、凭据或无关 dirty files。","提交可复现且普通 push 到同名分支；记录 exact commit；工作树无关改动保持原样。","local_cli","karpathy-guidelines","","检查 staged diff 和 credential scan。","确认远端分支解析到相同 SHA 且未 force push。","进行中","未开始","未开始","未提交","codex","docs/research/specs/TAUSB-SDH-E2E-V0-SPARSE-E20-v3.md:1","depends_on:LOCAL-VALIDATION-01;picked_reason:all_local_gates_closed;stage_scope:explicit_task_files_only","TAUSB-SDH-E2E-V0-SPARSE-E20-v3","TAUSB-SDH-E2E-V0-S0-E20-SPARSE","SPARSE-E20-S0-R1","not_applicable","","codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3","","审查 task-scope staged diff 后提交并普通 push","2026-08-12"
"PRERUN-REVIEW-01","P0","review","review","审查 exact sparse E20 执行快照","独立核对 CLI/config→P1→sparse materializer→mixed list→dataloader→fresh victims→VOC20 metrics、成本、fresh roots 与关机。","结果必须 pass/allow_run 并记录 execution commit、exact command、tmux、root、hash 和所有 validation gap；否则不得启动 GPU。","manual","pre-run-implementation-review","","从落盘 review packet 和 exact commit 重新取证。","核对 feature-off、legacy、失败路径、非覆盖和声明边界。","未开始","未开始","未开始","未提交","codex","docs/research/specs/TAUSB-SDH-E2E-V0-SPARSE-E20-v3.md:196","depends_on:GIT-SNAPSHOT-01;hard_gate:REMOTE-SPARSE-E20-01","TAUSB-SDH-E2E-V0-SPARSE-E20-v3","TAUSB-SDH-E2E-V0-S0-E20-SPARSE","SPARSE-E20-S0-R1","not_applicable","research_workspace/experiments/TAUSB-SDH-E2E-V0-S0-E20-SPARSE/pre_run","codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3","","等待 GIT-SNAPSHOT-01","2026-08-12"
"REMOTE-SPARSE-E20-01","P0","remote","experiment","运行 paired sparse E20 并自动关机","在 passing pre-run exact checkout 中复用 P1，稀疏物化 M1，依次运行 fresh C0 E20、M1 E20、clean VOC20 compare。","首进度、finite loss、GPU process 和 status 建立；20类 AP50、count/hash/quality 完整；任一失败、超时或最终完成自动关机；不运行 smoke/mechanism/200 epochs。","remote_cli","autodl-remote-run-snippet","","启动前确认 matching commit/payload 和 fresh roots。","核对阶段顺序、C0失败阻止M1、2h cap 与 shutdown。","未开始","未开始","未开始","未提交","codex","docs/research/specs/TAUSB-SDH-E2E-V0-SPARSE-E20-v3.md:148","depends_on:PRERUN-REVIEW-01;auto_shutdown:true;single_tmux:true","TAUSB-SDH-E2E-V0-SPARSE-E20-v3","TAUSB-SDH-E2E-V0-S0-E20-SPARSE","SPARSE-E20-S0-R1","not_started","/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-E20-SPARSE","codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3","","等待 PRERUN-REVIEW-01 pass 和 GPU 开启","2026-08-12"
"ARTIFACT-PULL-01","P0","remote","artifacts","拉回并核验最小 E20 证据","实例关机后拉回 controller 状态、清单/hashes、成本审计、C0/M1 metrics/status、逐类比较和必要日志；不拉数据集或权重。","manifest 文件逐个 SHA256 通过且 missing_required 为空；能区分科学结果与 operational failure；无图像树、checkpoint、凭据。","local_and_remote_cli","autodl-remote-pull-manifest","","核对清单最小且覆盖全部已执行阶段。","核对本地 hash、远端终态和 shutdown 一致。","未开始","未开始","未开始","未提交","codex","docs/research/specs/TAUSB-SDH-E2E-V0-SPARSE-E20-v3.md:148","depends_on:REMOTE-SPARSE-E20-01","TAUSB-SDH-E2E-V0-SPARSE-E20-v3","TAUSB-SDH-E2E-V0-S0-E20-SPARSE","SPARSE-E20-S0-R1","not_started","research_workspace/experiments/TAUSB-SDH-E2E-V0-S0-E20-SPARSE/remote_artifacts","codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3","","等待 REMOTE-SPARSE-E20-01 终态","2026-08-12"
