id,priority,phase,area,title,description,acceptance_criteria,test_mcp,required_skills,required_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes,spec_id,exp_id,run_id,remote_state,artifact_path,branch,commit_hash,next_action,updated_at
BASIS-01,P1,implement,carrier,实现背景频谱 basis,实现授权 source manifest、去 DC、low/low+mid、raw/phase-scrambled controls、SVD 正交 basis 与 hash。,synthetic source 测试证明 DC=0、basis rank>=8、zero-mean/unit-L2、固定 seed bitwise 一致；repository manifest 不含绝对路径。,local_cli,karpathy-guidelines,,核对实现与批准 Spec、活动参数链和声明边界一致,核对 feature-off 回退、确定性和相关测试,已完成,已完成,已完成,未提交,codex,ue_project/ue_framework/methods/background_spectral_basis.py:43;ue_project/ue_framework/methods/background_spectral_basis.py:218;ue_project/tests/test_background_spectral_basis.py:43,picked_reason:first dependency; evidence:py_compile pass; evidence:pytest background+existing carrier 5 passed; review:manifest has no path fields and bases are deterministic orthonormal band-limited; validation_scope:synthetic CPU only,TAUSB-BSC-RC-GR-v1,TAUSB-BSC-RC-GR-MECH-S0,,not_applicable,,codex/tausb-bsc-rc-gr-v1,,BASIS-INTEGRATION-01,2026-07-29
BASIS-INTEGRATION-01,P1,implement,carrier,接入 carrier basis 并保留回退,将 background basis 接入 universal pattern/materialization，保留 synthetic_fourier 默认路径。,新 mode 可生成 48 维 RGB coefficient pattern；support/JND/clamp 后输出频带能量；全部新开关关闭时现有 pattern 数值等价。,local_cli,karpathy-guidelines,,核对实现与批准 Spec、活动参数链和声明边界一致,核对 feature-off 回退、确定性和相关测试,已完成,已完成,已完成,未提交,codex,ue_project/ue_framework/methods/tausb_universal.py:95;ue_project/ue_framework/methods/tausb_universal.py:369;ue_project/ue_framework/methods/tausb_universal.py:404;ue_project/tests/test_background_spectral_basis.py:133,picked_reason:next dependency; evidence:py_compile pass; evidence:5 integration tests pass; regression:background+OA carrier+gradient 8 passed; feature_off:synthetic dispatch torch.equal with previous formula; materialized spectrum recorded after clamp,TAUSB-BSC-RC-GR-v1,TAUSB-BSC-RC-GR-MECH-S0,,not_applicable,,codex/tausb-bsc-rc-gr-v1,,HOOKS-01,2026-07-29
HOOKS-01,P1,implement,features,实现 YOLO 分类塔特征 hooks,捕获三尺度 cv3 pre-final 输入并监控 cv2，严格断言 module path、shape 与连接关系。,3 个 cv3 和 3 个 cv2 hook 对齐 P3/P4/P5；错误模型结构 fail closed；context/close 后无残留 hook。,local_cli,karpathy-guidelines,,核对实现与批准 Spec、活动参数链和声明边界一致,核对 feature-off 回退、确定性和相关测试,已完成,已完成,已完成,未提交,codex,ue_project/ue_framework/methods/detector_tower_hooks.py:17;ue_project/ue_framework/methods/detector_tower_hooks.py:108;ue_project/tests/test_detector_tower_hooks.py:48,picked_reason:next dependency; evidence:3 hook tests pass; evidence:actual VOC surrogate CPU forward cv3/cv2 shapes P3 64x8x8 P4 64x4x4 P5 64x2x2; regression:hook+basis 8 passed; review:strict paths class count duplicate and incomplete capture fail closed; close removes all handles,TAUSB-BSC-RC-GR-v1,TAUSB-BSC-RC-GR-MECH-S0,,not_applicable,,codex/tausb-bsc-rc-gr-v1,,CICR-01,2026-07-29
CICR-01,P1,implement,loss,实现 CICR 与分尺度原型,实现 clean/adv 分类塔残差、PAG masked mean、train-only EMA prototype、held-out freeze 与 energy floor。,zero-mask/zero-residual 不产生虚假一致性；train 更新而 held-out 不更新 prototype；single/multi-scale backward finite。,local_cli,karpathy-guidelines,,核对实现与批准 Spec、活动参数链和声明边界一致,核对 feature-off 回退、确定性和相关测试,已完成,已完成,已完成,未提交,codex,ue_project/ue_framework/methods/cicr.py:25;ue_project/ue_framework/methods/cicr.py:73;ue_project/tests/test_cicr.py:38,picked_reason:next dependency; evidence:4 focused tests pass; regression:carrier+hooks+CICR 12 passed; review:clean detached train-only EMA heldout freeze exact Q25 half floor; zero mask and low-energy return zero valid with NaN cosine rather than false agreement,TAUSB-BSC-RC-GR-v1,TAUSB-BSC-RC-GR-MECH-S0,,not_applicable,,codex/tausb-bsc-rc-gr-v1,,TARGET-ROUTE-01,2026-07-29
TARGET-ROUTE-01,P1,implement,loss,实现互斥 target route 与非目标约束,实现 R+ easy classification/box teacher、R- TAL evasion，以及真实非目标 foreground 的逐类单边 cls/box constraints。,R+ 与 R- 配置互斥；YOLOv8 无 objectness 假设被断言；无 active class 返回 not_applicable；预测改善不处罚；梯度 finite。,local_cli,karpathy-guidelines,,核对实现与批准 Spec、活动参数链和声明边界一致,核对 feature-off 回退、确定性和相关测试,已完成,已完成,已完成,未提交,codex,ue_project/ue_framework/methods/shadow_tal.py:173;ue_project/ue_framework/methods/shadow_tal.py:283;ue_project/ue_framework/methods/shadow_tal.py:363;ue_project/tests/test_selective_routes.py:17,picked_reason:next dependency; evidence:4 route tests pass; regression:carrier+hooks+CICR+routes 16 passed; review:R+ and R- are exclusive class-only logits reject objectness-augmented shape; per-class real foreground constraints are one-sided and person-only is not_applicable; gradients finite and R+/R- target-logit signs oppose as expected,TAUSB-BSC-RC-GR-v1,TAUSB-BSC-RC-GR-MECH-S0,,not_applicable,,codex/tausb-bsc-rc-gr-v1,,GRADIENT-ROUTER-01,2026-07-29
GRADIENT-ROUTER-01,P1,implement,optimizer,实现 coefficient-space 梯度路由,实现逐类约束梯度矩阵、SVD nullspace、rank/retention、三态更新和最多 5 次 nonlinear backtracking。,解析测试覆盖无约束、rank-zero、full-rank、near-singular、repair-only 和 skip；投影方向与 active rows 内积容差<=1e-5。,local_cli,karpathy-guidelines,,核对实现与批准 Spec、活动参数链和声明边界一致,核对 feature-off 回退、确定性和相关测试,已完成,已完成,已完成,未提交,codex,ue_project/ue_framework/methods/constraint_gradient_router.py:11;ue_project/ue_framework/methods/constraint_gradient_router.py:66;ue_project/ue_framework/methods/constraint_gradient_router.py:221;ue_project/tests/test_constraint_gradient_router.py:13,picked_reason:next dependency; evidence:7 router tests pass; regression:all new primitives 23 passed; review:SVD relative cutoff 1e-4 normalized per-row matrix retention/null dimension diagnostics and max row dot; zero-row fails closed; violated constraints select repair-only; backtracking returns detached candidate and skip without mutating parameter,TAUSB-BSC-RC-GR-v1,TAUSB-BSC-RC-GR-MECH-S0,,not_applicable,,codex/tausb-bsc-rc-gr-v1,,PROBE-CLI-01,2026-07-29
PROBE-CLI-01,P1,implement,probe,实现 Phase A-C probe/config/diagnostics,提供独立 CLI/config，固定 split/hash，运行 A0-A5 条件门禁并完整落盘机制指标。,CLI/config 到 carrier、CICR、route、constraint、router 和 metrics sink 可追踪；同 seed 一致；A 未 PASS 不进 B，B 未 PASS 不进 C；独立 run root。,local_cli,karpathy-guidelines,,核对实现与批准 Spec、活动参数链和声明边界一致,核对 feature-off 回退、确定性和相关测试,已完成,已完成,已完成,未提交,codex,ue_project/ue_framework/methods/bsc_rc_gr_probe.py:74;ue_project/ue_framework/methods/bsc_rc_gr_probe.py:1017;ue_project/ue_framework/methods/bsc_rc_gr_probe.py:1500;ue_project/ue_framework/tools/probe_tausb_bsc_rc_gr.py:1;ue_project/tests/test_bsc_probe_protocol.py:1,picked_reason:next dependency; evidence:standalone Phase A-C CLI binds background controls CICR exclusive R routes per-class constraints coefficient router and strict metrics sinks; gate:A failure blocks B and B failure blocks C; protocol:required ALCE shared split is read-only hash-bound and never invented; artifacts:fresh root created only after all external inputs validate; evidence:full pytest 58 passed,TAUSB-BSC-RC-GR-v1,TAUSB-BSC-RC-GR-MECH-S0,,not_applicable,,codex/tausb-bsc-rc-gr-v1,,LOCAL-VALIDATION-01,2026-07-29
LOCAL-VALIDATION-01,P1,validate,validation,完成本地轻量验证,运行 compile、配置解析、CPU synthetic tests、参数 sink 与 feature-off 等价测试。,所有相关测试通过；命令和结果写入 notes/review；真实 VOC/surrogate forward 缺失明确标 validation_gap，不冒充机制 PASS。,local_cli,karpathy-guidelines,,核对实现与批准 Spec、活动参数链和声明边界一致,核对 feature-off 回退、确定性和相关测试,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-BSC-RC-GR-v1.md:399;docs/research/specs/TAUSB-BSC-RC-GR-v1.md:424,evidence:py_compile pass for all changed Python; evidence:validate-only config hash 031dca3390a5d970ccfa7caecc47687a797fd52fd1aa9f6d52f5947ac20be771; evidence:pytest tests 58 passed; evidence:real local surrogate 3014748 params and 0 trainable params with cv3/cv2 P3-P5 shapes 64x8x8 64x4x4 64x2x2 and target id14; feature_off:synthetic carrier numerical equivalence covered; validation_gap:local VOC dataset absent and no mechanism metric claimed; remote_input_gap:approved 8-source manifest local map and upstream ALCE split still required,TAUSB-BSC-RC-GR-v1,TAUSB-BSC-RC-GR-MECH-S0,,not_applicable,,codex/tausb-bsc-rc-gr-v1,,PRERUN-REVIEW-01,2026-07-29
PRERUN-REVIEW-01,P0,review,prerun,远程 probe 前实现审查,独立 review packet 审计 active path、回退、数据/target/seed/checkpoint、命令、branch+commit 与不覆盖路径。,pre_run_result=pass；记录 pre_run_code_commit、gated_run、exact command、source/basis/split hash 与 feature-off 证据；否则插入修复行且不启动。,manual,pre-run-implementation-review,,核对实现与批准 Spec、活动参数链和声明边界一致,核对 feature-off 回退、确定性和相关测试,已完成,已完成,已完成,未提交,codex,issues/TAUSB-BSC-RC-GR-v1.review.md:3;docs/research/specs/TAUSB-BSC-RC-GR-v1.md:607,result:blocked; decision:do_not_run; pre_run_code_commit:6c56bf7b2d4bc8861aa52464c90b7271edd8314b; mechanical_sink_probe:real surrogate TAL/PAG R+ non-target constraint and finite coefficient gradient passed; blockers:background source manifest and local map absent plus required upstream ALCE shared split absent; no remote command launched,TAUSB-BSC-RC-GR-v1,TAUSB-BSC-RC-GR-MECH-S0,,not_applicable,,codex/tausb-bsc-rc-gr-v1,6c56bf7b2d4bc8861aa52464c90b7271edd8314b,PRERUN-INPUTS-01,2026-07-29
PRERUN-INPUTS-01,P0,prepare,inputs,冻结背景源与共享 split 输入,准备仅含稳定 source id SHA256 尺寸 license note 和 person-free 声明的 8-source repository manifest；提供不提交的本地绝对路径 map；落盘上游 ALCE shared split 并只读核验远程输入路径。,repository manifest 恰好 8 项且无本地路径；local map 保持仓库外；每个源 hash 和尺寸匹配；shared split protocol/hash/无重叠有效；远程 VOC checkpoint global params 与 unique run root 只读检查通过；记录 source basis split checkpoint hash。,manual,,,核对输入来源授权、Spec 数量与协议边界,核对 manifest 不含隐私路径且 hash 可复算,进行中,已完成,已完成,未提交,codex,issues/TAUSB-BSC-RC-GR-v1.review.md:32;research_workspace/sources/bsc_background_manifest.json:1;research_workspace/sources/TAUSB-ALCE-CTX-AUDIT-v1.json:1;ue_project/runs_research_local/TAUSB-BSC-RC-GR-v1-local-phaseA-20260729/status.json:1,picked_reason:PRERUN-REVIEW-01 blocked only on external inputs; user_authorization:本人持有并授权本研究使用; received_background_sources:8_of_8 unique hashes; source_manifest_hash:3a13b0f38b06006fd7f68ae03c7206b4b047d4b6129ee7357b05b966641d47af; split_hash:e2542517af00830147117582d69ff15a62fbeae1f8583bf0c9d01fbff120cae1; label_hash:0c8b6f6424061bc31b84ddf42b7370dcbd074f26805433d0ba275c24815e3248; checkpoint_hash:8de8a0c78c6414ad0bf98052b3bc96c33d8e854a2a2a905d47c8195363975b89; basis_ranks:16_16_16; local_phase_a:FAIL stop_reason=phase_a_failure_signal C2-LM_delta_vs_C0=-0.051855; decision:do_not_start_remote_prerun_or_phase_b; remaining_input_gap:remote path and same-source hash checks intentionally not pursued after scientific stop,TAUSB-BSC-RC-GR-v1,TAUSB-BSC-RC-GR-MECH-S0,LOCAL-PHASE-A-20260729,not_applicable,ue_project/runs_research_local/TAUSB-BSC-RC-GR-v1-local-phaseA-20260729,codex/tausb-bsc-rc-gr-v1,13963ab8303d4bad1486ad0c6b2e5c7b8e4235c3,等待用户决定是否另立 matched-optimization Spec,2026-07-29
