id,priority,phase,area,title,description,acceptance_criteria,test_mcp,required_skills,required_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes,spec_id,exp_id,run_id,remote_state,artifact_path,branch,commit_hash,next_action,updated_at
APPROVAL-01,P0,prepare,spec,Freeze the approved RMS-descriptive spectral-bottleneck Spec,Register the user-approved revision as the only execution contract for the SB25 hiding retry.,Spec status is approved and records that RMS CV is descriptive while the high-frequency gate remains hard.,manual,research-brainstorming,,Confirm the approved wording matches the user decision and does not relabel r2.,Confirm no host-diversity loss or RMS threshold remains and mechanism/victim stay blocked.,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-HIDING-SB-v1.md:1;research_workspace/experiments/TAUSB-SDH-LFC-CICR-CGR-NLA-S0/analysis/hiding_gate.md:1,approval_evidence:user_message_2026-08-11;approved_change:RMS_CV_descriptive_only;no_posthoc_r2_relabel:true,TAUSB-SDH-HIDING-SB-v1,TAUSB-SDH-LFC-CICR-CGR-NLA-S0-SB25,,not_applicable,docs/research/specs/TAUSB-SDH-HIDING-SB-v1.md,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,7f59ab84483f02207594fe6bf89ff870035685cd,IMPLEMENT-SB-01,2026-08-11
IMPLEMENT-SB-01,P0,implement,carrier,Implement the single-parameter Haar spectral bottleneck,Add bounded hf_subband_scale to the canonical residual path and bind the approved SB25 config through run_hiding_pilot.,Scale 1.0 is forward and gradient equivalent to the old path; scale 0.25 attenuates LH HL HH; invalid values fail closed; no loss or RMS objective changes.,local_cli,karpathy-guidelines,,Check the only active sink is raw_residual to DWT subband scaling to inverse to tanh.,Check legacy constructors and scale 1.0 fallback remain equivalent and no downstream method changes.,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-HIDING-SB-v1.md:43;ue_project/ue_framework/methods/semantic_hiding_carrier.py:114;ue_project/ue_framework/methods/sdh_experiment.py:395,depends_on:APPROVAL-01;one_parameter_only:true;hf_subband_scale:0.25;no_rms_loss:true;execution_started:2026-08-11;picked_reason:first_dependency_closed_P0_after_approved_spec;implementation_complete:true;legacy_hash_preserved:true;checkpoint_scale_bound:true,TAUSB-SDH-HIDING-SB-v1,TAUSB-SDH-LFC-CICR-CGR-NLA-S0-SB25,,not_applicable,ue_project/ue_framework/methods/semantic_hiding_carrier.py,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,7f59ab84483f02207594fe6bf89ff870035685cd,LOCAL-VALIDATION-01,2026-08-11
LOCAL-VALIDATION-01,P0,validate,tests,Validate rollback equivalence and the SB25 parameter sink,Run focused carrier config hiding tests plus Python 3.8 compatibility and a cheap spectral probe.,Scale 1.0 output and input/parameter gradients match baseline within tolerance; SB25 lowers Haar high-band energy; all focused and legacy SDH tests pass.,local_cli,karpathy-guidelines,,Check deterministic finite forward backward and exact config to constructor binding.,Check no RMS threshold in the revised gate and old configs retain scale 1.0 semantics.,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-HIDING-SB-v1.md:61;ue_project/tests/test_semantic_hiding_carrier.py:1;ue_project/tests/test_sdh_experiment.py:1,depends_on:IMPLEMENT-SB-01;no_gpu:true;focused_tests:81_passed;python_compile:passed;diff_check:passed;gpu_used:false,TAUSB-SDH-HIDING-SB-v1,TAUSB-SDH-LFC-CICR-CGR-NLA-S0-SB25,,not_applicable,ue_project/tests/test_semantic_hiding_carrier.py,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,7f59ab84483f02207594fe6bf89ff870035685cd,GIT-SNAPSHOT-01,2026-08-11
GIT-SNAPSHOT-01,P0,prepare,git,Freeze and push the reviewed implementation candidate,Commit only the approved Spec CSV implementation config tests and review packet while preserving unrelated dirty files.,A normal non-force push succeeds; exact commit and scoped file list are recorded; no data weights checkpoints temp files or credentials are included.,local_cli,karpathy-guidelines,,Inspect staged diff tests and credential boundaries before commit.,Confirm the commit reproduces the approved parameter path and excludes unrelated worktree changes.,已完成,已完成,已完成,已提交,codex,docs/research/specs/TAUSB-SDH-HIDING-SB-v1.md:113;AGENTS.md:1,depends_on:LOCAL-VALIDATION-01;no_force_push:true;preserve_dirty_worktree:true;picked_reason:implementation_and_local_validation_closed;implementation_commit:7f59ab84483f02207594fe6bf89ff870035685cd;scoped_files:14;credential_scan:pass,TAUSB-SDH-HIDING-SB-v1,TAUSB-SDH-LFC-CICR-CGR-NLA-S0-SB25,,not_applicable,,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,7f59ab84483f02207594fe6bf89ff870035685cd,PRERUN-REVIEW-01,2026-08-11
PRERUN-REVIEW-01,P0,review,review,Review the exact SB25 hiding-only retry,Audit CLI config runtime carrier sink tests frozen r2 baseline fresh remote paths cost cap and auto-shutdown before any GPU launch.,Review passes only for an exact pushed commit with scale 0.25 active scale 1.0 rollback evidence fresh SB25 root and hiding-only command.,manual,pre-run-implementation-review,,Trace config to the canonical residual spectral bottleneck and revised hard gate.,Check r1/r2 preservation no mechanism victim EOT JND RMS loss or AP claim and verify auto-shutdown.,进行中,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SDH-HIDING-SB-v1.md:73;research_workspace/experiments/TAUSB-SDH-LFC-CICR-CGR-NLA-S0/pre_run/prerun_hiding_review.md:1,depends_on:GIT-SNAPSHOT-01;hard_gate:REMOTE-HIDING-SB25-01;picked_reason:pushed_candidate_required_after_git_snapshot,TAUSB-SDH-HIDING-SB-v1,TAUSB-SDH-LFC-CICR-CGR-NLA-S0-SB25,,not_applicable,research_workspace/experiments/TAUSB-SDH-LFC-CICR-CGR-NLA-S0-SB25/pre_run/prerun.md,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,7f59ab84483f02207594fe6bf89ff870035685cd,REMOTE-HIDING-SB25-01,2026-08-11
REMOTE-HIDING-SB25-01,P0,remote,experiment,Run the capped SB25 hiding-only pilot,Run only the approved seed-0 120-step SB25 hiding stage from the reviewed commit in a fresh root.,Finite first progress GPU activity status and artifacts appear; run completes or stops safely within 20 minutes and auto-shuts down; no mechanism or victim starts.,remote_cli,autodl-remote-run-snippet,,Check exact reviewed commit scale 0.25 config input hashes and fresh root are active.,Check r1/r2 remain untouched and wrapper contains no mechanism victim EOT JND or RMS objective.,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SDH-HIDING-SB-v1.md:73;AGENTS.md:1,gated_by:PRERUN-REVIEW-01;cost_cap_minutes:20;auto_shutdown:true;no_resume:true,TAUSB-SDH-HIDING-SB-v1,TAUSB-SDH-LFC-CICR-CGR-NLA-S0-SB25,HIDING-S0-SB25-R1,not_started,/root/tausb-sdh-runs/TAUSB-SDH-LFC-CICR-CGR-NLA-S0-SB25/hiding,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,ARTIFACT-PULL-01,2026-08-11
ARTIFACT-PULL-01,P0,remote,artifacts,Pull and verify the minimal SB25 evidence,Pull status hiding metrics split log config binding and cost-guard evidence by manifest without the checkpoint by default.,All required small files and hashes verify; r1/r2 remain unchanged; datasets weights checkpoints and credentials are excluded.,local_and_remote_cli,autodl-remote-pull-manifest,,Check the revised hard-gate fields and RMS descriptive field are present.,Check exact formal and ready hashes no overwrite and no large artifact transfer.,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SDH-HIDING-SB-v1.md:86;AGENTS.md:1,depends_on:REMOTE-HIDING-SB25-01,TAUSB-SDH-HIDING-SB-v1,TAUSB-SDH-LFC-CICR-CGR-NLA-S0-SB25,HIDING-S0-SB25-R1,not_started,research_workspace/experiments/TAUSB-SDH-LFC-CICR-CGR-NLA-S0-SB25/remote_artifacts,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,HEN-ANALYSIS-01,2026-08-11
HEN-ANALYSIS-01,P0,analyze,analysis,Decide the revised SB25 hiding gate,Compare only the SB25 run to frozen r2 evidence and judge every revised Success and independent Failure Signal.,Report exact metrics and hashes; RMS CV is descriptive only; any revised hard-gate failure blocks mechanism; no AP or UE claim is made.,manual,exp-analysis-hen,,Check hypothesis evidence and thresholds without post-hoc rewriting.,Check missing visuals PSNR LPIPS victim AP and single-seed boundaries are explicit.,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SDH-HIDING-SB-v1.md:86;research_workspace/experiments/TAUSB-SDH-LFC-CICR-CGR-NLA-S0/analysis/result-TAUSB-SDH-LFC-CICR-CGR-NLA-S0.md:1,depends_on:ARTIFACT-PULL-01;baseline:HIDING-S0-R2;rms_cv:descriptive_only,TAUSB-SDH-HIDING-SB-v1,TAUSB-SDH-LFC-CICR-CGR-NLA-S0-SB25,,not_applicable,research_workspace/experiments/TAUSB-SDH-LFC-CICR-CGR-NLA-S0-SB25/analysis/result.md,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,STATE-DECISION-01,2026-08-11
STATE-DECISION-01,P0,analyze,state,Prepare the SB25 state candidate for user decision,Translate the hiding-only result into a candidate current truth or failed-path record without changing Current Best automatically.,Candidate preserves single-seed mechanical scope and requires user authority for STATE changes or mechanism continuation.,manual,,,Check the candidate is fully supported by pulled artifacts and HEN.,Check no detector efficacy robustness transfer or SOTA claim is introduced.,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SDH-HIDING-SB-v1.md:109;research_workspace/STATE.md:1,depends_on:HEN-ANALYSIS-01;user_gate:STATE_truth,TAUSB-SDH-HIDING-SB-v1,TAUSB-SDH-LFC-CICR-CGR-NLA-S0-SB25,,not_applicable,research_workspace/experiments/TAUSB-SDH-LFC-CICR-CGR-NLA-S0-SB25/analysis/state_candidate.md,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,REVIEW-01,2026-08-11
REVIEW-01,P0,review,review,Run the SB25 Spec-level claim and evidence review,Re-read the approved Spec CSV implementation tests pre-run remote artifacts HEN state candidate and Git scope.,Output vision_met or gaps_found; every executable row and claim matches evidence; failures create explicit follow-up work and never bypass the hiding gate.,manual,mission-csv-execute,,Confirm all prior rows are truthfully closed or formally blocked.,Check revised RMS semantics high-frequency gate claim boundary and artifact hashes end to end.,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SDH-HIDING-SB-v1.md:1;issues/TAUSB-SDH-HIDING-SB-v1.csv:1,depends_on:STATE-DECISION-01;review_kind:vision;hiding_only:true,TAUSB-SDH-HIDING-SB-v1,TAUSB-SDH-LFC-CICR-CGR-NLA-S0-SB25,,not_applicable,issues/TAUSB-SDH-HIDING-SB-v1.review.md,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,complete,2026-08-11
