id,priority,phase,area,title,description,acceptance_criteria,test_mcp,required_skills,required_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes,spec_id,exp_id,run_id,remote_state,artifact_path,branch,commit_hash,next_action,updated_at
APPROVAL-01,P0,prepare,spec,冻结并登记已批准 SIRC-v1 Spec,把用户明确批准的分阶段方案登记为 approved；确认首轮只比较语义载体、实例残差一致性和 TRC，不启用 LFC、非目标梯度正交、poisoned dataset 或 victim training。,Spec front matter 为 approved 且 approval date 已记录；CSV 路径、ExpID、Research Contract 与 claim boundary 可追溯。,manual,,,逐项核对实现或执行结果与冻结 Spec、验收判据及证据路径一致,核对回退路径、claim boundary、实验隔离与全部相关验证结果,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SIRC-v1.md:1;docs/research/specs/TAUSB-SIRC-v1.md:280;docs/research/specs/TAUSB-SIRC-v1.md:412,user_approval:2026-08-08;scope:surrogate mechanism probe only;deferred:LFC|non-target projection|victim training,TAUSB-SIRC-v1,TAUSB-SIRC-MECH-S0,,not_applicable,,codex/tausb-sirc-v1,,CARRIER-01,2026-08-08
CARRIER-01,P0,implement,carrier,实现分层语义残差载体与匹配对照,新增 semantic_residual_carrier.py：由固定语义锚点 phase 与四个 donor amplitude 构造 low+mid 语义变体，并生成逐频幅度完全匹配的 phase-scrambled controls、16 维 basis、稳定 variant hash 与 gamma/z0 参数化。,"测试证明四变体共享 anchor phase；对应 control 的逐频幅度谱一致；频带半径严格为 [2,24]；basis rank、zero-mean、unit-L2、固定 seed/hash、有限梯度和幅度标定满足 Spec。",local_cli,karpathy-guidelines,,逐项核对实现或执行结果与冻结 Spec、验收判据及证据路径一致,核对回退路径、claim boundary、实验隔离与全部相关验证结果,已完成,已完成,已完成,未提交,codex,ue_project/ue_framework/methods/semantic_residual_carrier.py:53;ue_project/ue_framework/methods/semantic_residual_carrier.py:237;ue_project/ue_framework/methods/semantic_residual_carrier.py:288;ue_project/ue_framework/methods/semantic_residual_carrier.py:429;ue_project/tests/test_sirc_semantic_carrier.py:32,depends_on:APPROVAL-01;feature_off:existing ICMO path must remain unchanged;picked_reason:first open implementation dependency;execution_started:2026-08-08;validation:8 focused and ICMO parameterization tests passed;real_sources:5 SHA256 verified;formal_640_bank_hash:0c503d900676c05212cef3443ab4a11d0dafe17e0ab82d0a384bc870a2b945d2;ranks:semantic/control all 16;max_relative_basis_amplitude_error:1.2616546e-7;review:conjugate-symmetric mutually exclusive masks preserve real reconstruction;claim_boundary:carrier mechanical only;parameterization_fix:fixed signed reconstruction scales plus positive 1+tanh(z) modulation preserves phase;initial_semantic_NCC_128:0.6766-0.7535;shared_gamma_family_ratio_local:1.03988,TAUSB-SIRC-v1,TAUSB-SIRC-MECH-S0,,not_applicable,,codex/tausb-sirc-v1,,RENDER-01,2026-08-08
RENDER-01,P0,implement,rendering,接入稳定 variant-index 的实例规范渲染,复用 instance_canonical_carrier.py 的 person instance-canonical renderer，仅增加按 image_id 和 seed=2102 选择变体的显式输入；保持 forced pseudo ellipse support、重叠均值、JND 与 clamp 语义。,同一 image_id 所有 person 使用同一 variant；不同运行选择确定；对象相对坐标保持；重叠取均值；person support 外扰动精确为零；旧 ICMO renderer 数值回归通过。,local_cli,karpathy-guidelines,,逐项核对实现或执行结果与冻结 Spec、验收判据及证据路径一致,核对回退路径、claim boundary、实验隔离与全部相关验证结果,已完成,已完成,已完成,未提交,codex,ue_project/ue_framework/methods/instance_canonical_carrier.py:398;ue_project/tests/test_sirc_variant_renderer.py:20;ue_project/tests/test_bsc_icmo_renderer.py:1,"depends_on:CARRIER-01;protocol:forced pseudo fallback is not an instance mask;picked_reason:CARRIER-01 satisfied;execution_started:2026-08-08;validation:9 SIRC variant and legacy ICMO renderer/support tests passed;regression:single-variant new path torch.equal to legacy apply;mechanical:one variant per image across all person instances,outside-support max zero,finite selected-pattern gradients;review:no existing renderer code path changed",TAUSB-SIRC-v1,TAUSB-SIRC-MECH-S0,,not_applicable,,codex/tausb-sirc-v1,,PROBE-01,2026-08-08
PROBE-01,P0,implement,probe,实现 Phase A/B SIRC 机制 probe,新增 sirc_probe.py，串联 I-C2LM、固定/四变体 phase-scrambled controls、固定语义模板、四语义变体以及 EOT/TRC 两臂；按 clean TAL target_gt_idx 和 P3/P4/P5 计算 Instance-CICR、保护泄漏、变换一致性与 held-out cue audit。,Phase A/B arms 共享 split、epsilon、support、renderer、幅度、参数容量、z0、gamma、优化器与预算；仅 frozen Spec 指定差异生效；prototype 只在 train/calibration 更新，held-out 完全冻结；空组与非有限值 fail closed；机械门禁阻止无效优化。,local_cli,karpathy-guidelines,,逐项核对实现或执行结果与冻结 Spec、验收判据及证据路径一致,核对回退路径、claim boundary、实验隔离与全部相关验证结果,已完成,已完成,已完成,未提交,codex,ue_project/ue_framework/methods/sirc_probe.py:75;ue_project/ue_framework/methods/sirc_probe.py:230;ue_project/ue_framework/methods/sirc_probe.py:384;ue_project/ue_framework/methods/sirc_probe.py:453;ue_project/ue_framework/methods/sirc_probe.py:746;ue_project/tests/test_sirc_probe.py:38,"depends_on:CARRIER-01|RENDER-01;claim_boundary:surrogate mechanism only;picked_reason:CARRIER-01 and RENDER-01 satisfied;execution_started:2026-08-08;validation:92 repository tests passed with isolated basetemp;real_smoke:runs_research_local/TAUSB-SIRC-v1-smoke-20260808-b;real_TAL:4x8400 target_gt_idx observed;arms:I-SPC-V/I-SV/I-SV-E1 one warmup plus one matched update;coverage:0.8/1.0/1.0;gradients:all finite;TRC_E1_loss:0.748159;prototype_and_variant_hashes:present;source_screen:pass;claim_boundary:mechanical smoke only;diagnostic_gap:P5 global semantic proxy delta 0.0188 after smoke, below frozen failure threshold and to be audited before formal run",TAUSB-SIRC-v1,TAUSB-SIRC-MECH-S0,,not_applicable,,codex/tausb-sirc-v1,,CLI-CONFIG-01,2026-08-08
CLI-CONFIG-01,P0,implement,entrypoint,实现独立 CLI、formal YAML 与 artifact schema,新增 probe_tausb_sirc.py 和 exp_voc_person_tausb_sirc_probe.yaml，绑定 source screen、Phase A/B、冻结输入 hash、metrics/status/config/diagnostics sinks 与 fresh artifact root 检查。,CLI validate-only 可解析并输出稳定 config hash；CLI/config→runtime→active loss/metric sink 可追踪；缺失 source/split/checkpoint、污染、旧 artifact root 或未知 model layout 均 fail closed；feature-off 不改变既有方法。,local_cli,karpathy-guidelines,,逐项核对实现或执行结果与冻结 Spec、验收判据及证据路径一致,核对回退路径、claim boundary、实验隔离与全部相关验证结果,已完成,已完成,已完成,未提交,codex,ue_project/ue_framework/tools/probe_tausb_sirc.py:16;ue_project/ue_framework/tools/probe_tausb_sirc.py:38;ue_project/ue_framework/configs/exp_voc_person_tausb_sirc_probe.yaml:1;ue_project/tests/test_sirc_probe.py:138,depends_on:PROBE-01;artifact_policy:fresh root only;validation:formal validate-only pass;formal_config_hash:4fc00518c1793c098bb160dc4827d66952187e51c720f5b7c16551fd6b1378c8;feature_off:standalone probe files and optional engine arguments leave existing ICMO calls unchanged;artifact_policy:fresh root enforced,TAUSB-SIRC-v1,TAUSB-SIRC-MECH-S0,,not_applicable,,codex/tausb-sirc-v1,,LOCAL-VALIDATION-01,2026-08-08
LOCAL-VALIDATION-01,P0,validate,validation,执行单元、回归、配置与真实 TAL 便宜 smoke,运行 py_compile、carrier/renderer/probe 定向 pytest、既有 ICMO/CICR/TAL 回归、formal config validate-only，并用真实 VOC/YOLO surrogate 做最小 source contamination screen 和至少一个有限 backward 的 smoke。,所有定向和相关回归测试通过；真实 smoke 越过模型初始化、clean TAL 分配、P3/P4/P5 residual 提取和一次优化；loss/gradient/hash/support/spectrum 均有限且 schema 完整；smoke 不包装成 mechanism PASS。,local_cli,karpathy-guidelines,,逐项核对实现或执行结果与冻结 Spec、验收判据及证据路径一致,核对回退路径、claim boundary、实验隔离与全部相关验证结果,已完成,已完成,已完成,未提交,codex,ue_project/tests/test_sirc_semantic_carrier.py:1;ue_project/tests/test_sirc_variant_renderer.py:1;ue_project/tests/test_sirc_probe.py:1;ue_project/runs_research_local/TAUSB-SIRC-v1-smoke-20260808-b/status.json:1;ue_project/runs_research_local/TAUSB-SIRC-v1-smoke-20260808-b/mechanical_preconditions.json:1,"depends_on:CLI-CONFIG-01;validation_scope:local cheap only;validation:py_compile pass;validation:formal config validate-only pass;validation:92 repository tests pass;smoke_b:completed real VOC+YOLO source screen, gamma calibration, I-SPC-V/I-SV forward/backward and I-SV-E1 TRC backward;source_confidence_max:person0.02836,VOC20_0.09543;structure_static:NCC semantic_pair0.72798,semantic_anchor0.76108,control_anchor0.06283,amplitude_distance0.71640;spectrum_relative_error_max:7.44e-10;minimum_rank:16;gamma_family_ratio:1.03988;support_outside_max:0;mechanism_claim:not evaluated;validation_gap:global-pooled P5 proxy appears phase-insensitive and frozen threshold needs pre-run decision",TAUSB-SIRC-v1,TAUSB-SIRC-MECH-S0,,not_applicable,,codex/tausb-sirc-v1,,PRERUN-REMOTE-INPUTS-01,2026-08-08
PRERUN-REMOTE-INPUTS-01,P0,prepare,remote_inputs,只读核验正式远端输入与 fresh run root,恢复授权 AutoDL 连接后只读核验 branch/commit、Python/CUDA/GPU、VOC、标签、shared split、背景 source local map、surrogate checkpoint、source/basis/split hashes 和正式 artifact root 不存在。,所有路径存在且 hash 与 Spec 一致；远端 checkout 绑定候选 pre-run commit；GPU 环境可用；artifact root 不存在；不在仓库、CSV 或日志持久化连接秘密。,remote_cli,mission-csv-execute,,逐项核对实现或执行结果与冻结 Spec、验收判据及证据路径一致,核对回退路径、claim boundary、实验隔离与全部相关验证结果,进行中,进行中,未开始,未提交,codex,docs/research/specs/TAUSB-SIRC-v1.md:348;docs/research/specs/TAUSB-SIRC-v1.md:390;AGENTS.md:1,depends_on:LOCAL-VALIDATION-01;read_only:true;no_secret_persistence:true;picked_reason:all local implementation and validation dependencies satisfied;candidate_branch:codex/tausb-sirc-v1;candidate_commit:01d43fccddda8df6e558319b4e7254eef8d05699;push_blocked:explicit authorization required for https://github.com/gql119/autodl-tmp.git;read_only_remote_audit:continuing,TAUSB-SIRC-v1,TAUSB-SIRC-MECH-S0,,not_started,/root/autodl-tmp/ue_project/runs_research/TAUSB-SIRC-v1,codex/tausb-sirc-v1,,完成远端环境/输入只读核验，并由用户明确授权推送到具体 GitHub 仓库或手动同步 commit,2026-08-08
PRERUN-REVIEW-01,P0,review,review,正式机制 probe 前实现审查,独立重读 approved Spec、CSV、代码 diff、本地证据、远端只读输入证据与命令绑定；审计 CLI/config→runtime→loss/metric sinks、回退、data/target/seed/checkpoint、branch+commit、fresh root 和恢复策略。,生成 review handoff；pre_run_result=pass 且 decision=allow_run；记录 pre_run_code_commit、精确 tmux 内层命令、session/log/artifact root；所有阻断项关闭后才开放 REMOTE-PROBE-01。,manual,pre-run-implementation-review,,逐项核对实现或执行结果与冻结 Spec、验收判据及证据路径一致,核对回退路径、claim boundary、实验隔离与全部相关验证结果,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SIRC-v1.md:519;AGENTS.md:1,depends_on:PRERUN-REMOTE-INPUTS-01;hard_gate:REMOTE-PROBE-01,TAUSB-SIRC-v1,TAUSB-SIRC-MECH-S0,,not_applicable,,codex/tausb-sirc-v1,,REMOTE-PROBE-01,2026-08-08
REMOTE-PROBE-01,P0,remote,experiment,在持久会话运行 SIRC Phase A/B mechanism probe,使用审查通过的 branch+commit 生成 tmux 命令并运行 ExpID TAUSB-SIRC-MECH-S0，执行首步 go/no-go 和周期健康检查，按冻结 success/failure/stop gates 推进 Phase A 与 Phase B。,进程、首个训练进度、finite loss、GPU 进程、status/log/artifact root 可核验；运行严格绑定 pre_run_code_commit；失败/停止条件触发时保留证据且不进入 victim training。,remote_cli,autodl-remote-run-snippet,,逐项核对实现或执行结果与冻结 Spec、验收判据及证据路径一致,核对回退路径、claim boundary、实验隔离与全部相关验证结果,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SIRC-v1.md:390;docs/research/specs/TAUSB-SIRC-v1.md:421;docs/research/specs/TAUSB-SIRC-v1.md:462;docs/research/specs/TAUSB-SIRC-v1.md:500,depends_on:PRERUN-REVIEW-01;gated_by:pre_run_result=pass;destructive_check:fresh artifact root required,TAUSB-SIRC-v1,TAUSB-SIRC-MECH-S0,,not_started,/root/autodl-tmp/ue_project/runs_research/TAUSB-SIRC-v1,codex/tausb-sirc-v1,,ARTIFACT-PULL-01,2026-08-08
ARTIFACT-PULL-01,P0,remote,artifacts,拉回并校验最小 SIRC 证据集,远程完成或科学停止后，根据 manifest 安全拉回 status、resolved config、metrics、hashes、必要日志和少量诊断；校验路径、大小与 checksum，禁止覆盖既有 ExpID。,remote_artifacts 包含可审计最小证据；manifest/checksum 完整；缺失项标 validation_gap；不拉取数据集、大权重或连接秘密。,local_and_remote_cli,autodl-remote-pull-manifest,,逐项核对实现或执行结果与冻结 Spec、验收判据及证据路径一致,核对回退路径、claim boundary、实验隔离与全部相关验证结果,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SIRC-v1.md:530;AGENTS.md:1,depends_on:REMOTE-PROBE-01,TAUSB-SIRC-v1,TAUSB-SIRC-MECH-S0,,not_applicable,research_workspace/experiments/TAUSB-SIRC-MECH-S0/remote_artifacts,codex/tausb-sirc-v1,,METRICS-INGEST-01,2026-08-08
