id,priority,phase,area,title,description,acceptance_criteria,test_mcp,required_skills,required_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes,spec_id,exp_id,run_id,remote_state,artifact_path,branch,commit_hash,next_action,updated_at
SPEC-01,P0,plan,research-contract,固化批准状态与修复边界,登记用户批准，并冻结仅修复 D0 生产者身份绑定的一次诊断范围。,Spec=approved；仅 provenance binding；禁止改目标函数、梯度、阈值、E20/E200、victim 与 AP50。,manual,mission-approved-doc,,逐节核对批准内容,确认未扩展算法或声明,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-R4-D0-BINDING-FIX-v1.md:1,explicit_user_approval:2026-08-27; parent_failure:R3_D0_SpecID_mismatch,TAUSB-SDH-DGCAIP-R4-D0-BINDING-FIX-v1,TAUSB-SDH-DGCAIP-S0-R4-DIAG,,not_applicable,docs/research/specs/TAUSB-SDH-DGCAIP-R4-D0-BINDING-FIX-v1.md,codex/tausb-sdh-dgcaip-r4-d0-binding-fix-v1,,BINDING-FIX-01,2026-08-27
BINDING-FIX-01,P0,implement,provenance-binding,修复 D0 生产者 SpecID 绑定,运行时比较 d0_report.spec_id 与 dgcaip.expected_d0_spec_id；缺字段时保持旧回退。,R4 接受真实生产者；错误生产者 fail-closed；legacy 缺字段行为不变；其余 D0 门禁原样。,local_pytest,karpathy-guidelines,,核对只修改身份角色比较,D0 hash/decision/split/P1 mismatch 仍拒绝,已完成,已完成,未开始,未提交,codex,ue_project/ue_framework/methods/dgcaip_experiment.py:83,evidence:surgical helper plus runtime call; AST regression pass 6 cases; full pytest deferred to TEST-01,TAUSB-SDH-DGCAIP-R4-D0-BINDING-FIX-v1,TAUSB-SDH-DGCAIP-S0-R4-DIAG,,not_applicable,ue_project/ue_framework/methods/dgcaip_experiment.py,codex/tausb-sdh-dgcaip-r4-d0-binding-fix-v1,,CONFIG-01,2026-08-27
CONFIG-01,P0,implement,config-runtime,新增并冻结 R4 配置,复制 R3 诊断参数，增加 expected_d0_spec_id，并使用新 SpecID、ExpID 和唯一产物根。,producer SpecID=TAUSB-SDH-DGCAIP-CGR-E20-v2；600秒；16/24；batch4；steps8；无 P3/victim/AP50。,local_pytest,karpathy-guidelines,,核对 config→validator→runtime,R3/R2 配置与默认 feature-off 不变,已完成,已完成,未开始,未提交,codex,ue_project/ue_framework/configs/tausb_sdh_dgcaip_r4_d0_binding_fix_v1.yaml:1,config_diff:R3 only spec_id exp_id expected_d0_spec_id artifact_root; sha256=7143daef47321275661081a6118f22ff30b0e5d922ba968aaf061d1c0a3b2004,TAUSB-SDH-DGCAIP-R4-D0-BINDING-FIX-v1,TAUSB-SDH-DGCAIP-S0-R4-DIAG,,not_applicable,ue_project/ue_framework/configs/tausb_sdh_dgcaip_r4_d0_binding_fix_v1.yaml,codex/tausb-sdh-dgcaip-r4-d0-binding-fix-v1,,TEST-01,2026-08-27
TEST-01,P0,validate,tests,补充绑定与回归测试,覆盖真实生产者、错误期望值、报告不匹配、legacy 回退及既有 D0 拒绝分支。,新增测试与完整 DGCAIP focused suite 通过；不放宽现有 fail-closed 门禁。,local_pytest,karpathy-guidelines,,每个 Spec 要求有明确断言,既有 R2/R3 与 feature-off 无回归,进行中,已完成,未开始,未提交,codex,ue_project/tests/test_dgcaip_experiment.py:170,compileall:pass; binding_AST_regression:6_cases_pass; bash_syntax_config_hash_stray_plus:pass; blocker:local bundled Python lacks pytest PyYAML torch; full focused suite must run in AutoDL no-card after authorized push,TAUSB-SDH-DGCAIP-R4-D0-BINDING-FIX-v1,TAUSB-SDH-DGCAIP-S0-R4-DIAG,,not_applicable,ue_project/tests/,codex/tausb-sdh-dgcaip-r4-d0-binding-fix-v1,,LOCAL-VALIDATE-01,2026-08-27
LOCAL-VALIDATE-01,P0,validate,local-validation,执行本地轻量门禁,运行 compile、配置解析、定向 pytest、Bash syntax、config hash 与 stray-token 扫描。,全部 exit=0；diff 只含 R4；validation_gap 明示；不声称真实 GPU 机制结果。,local_cli,mission-csv-execute,,核对命令和 fatal scan,确认无目标函数、梯度、阈值改动,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-R4-D0-BINDING-FIX-v1.md:45,claim_boundary:local_mechanics_only,TAUSB-SDH-DGCAIP-R4-D0-BINDING-FIX-v1,TAUSB-SDH-DGCAIP-S0-R4-DIAG,,not_applicable,issues/TAUSB-SDH-DGCAIP-R4-D0-BINDING-FIX-v1.review.md,codex/tausb-sdh-dgcaip-r4-d0-binding-fix-v1,,PRERUN-REVIEW-01,2026-08-27
PRERUN-REVIEW-01,P0,review,pre-run,独立审查精确运行包,审查参数链、feature-off、输入哈希、唯一根、10分钟控制器与自动关机。,pre_run_result=pass；记录 branch+commit+config hash+command+root；blocked 时不得启动 GPU。,manual,pre-run-implementation-review,,只基于可执行快照审查,确认无 P3/victim/AP50/E20/E200,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-R4-D0-BINDING-FIX-v1.md:74,gpu_gate:closed_until_pass,TAUSB-SDH-DGCAIP-R4-D0-BINDING-FIX-v1,TAUSB-SDH-DGCAIP-S0-R4-DIAG,,not_audited,research_workspace/experiments/TAUSB-SDH-DGCAIP-S0-R4-DIAG/pre_run/,codex/tausb-sdh-dgcaip-r4-d0-binding-fix-v1,,NOCARD-AUDIT-01,2026-08-27
NOCARD-AUDIT-01,P0,review,remote-no-card,核验远端精确输入和空路径,只读核对 exact checkout、配置哈希、冻结输入、数据集计数、唯一输出根和磁盘。,远端 commit/config/input hashes 精确；R4 输出均不存在；无活跃 session/GPU；空间足够。,remote_cpu,autodl-remote-audit,,不切换或污染历史脏 worktree,无写数据集、权重或启动 mechanism,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-R4-D0-BINDING-FIX-v1.md:95,remote_write_forbidden_except_exact_checkout_after_push_authorization,TAUSB-SDH-DGCAIP-R4-D0-BINDING-FIX-v1,TAUSB-SDH-DGCAIP-S0-R4-DIAG,,not_audited,research_workspace/experiments/TAUSB-SDH-DGCAIP-S0-R4-DIAG/pre_run/,codex/tausb-sdh-dgcaip-r4-d0-binding-fix-v1,,REMOTE-DIAG-01,2026-08-27
REMOTE-DIAG-01,P0,run,remote-gpu,运行一次 R4 机制诊断,AutoDL tmux 运行绑定提交；成功、失败或硬上限均自动关机。,仅一次；controller terminal；完整 finite traces；H1/H2 各 exactly-one；关机核验。,remote_gpu,autodl-remote-run-snippet,,启动前核对远端 HEAD,无 P3/victim/AP50/E20/E200 且不覆盖 R3,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-R4-D0-BINDING-FIX-v1.md:74,hard_cap_seconds:600; retain_all_outcomes:true,TAUSB-SDH-DGCAIP-R4-D0-BINDING-FIX-v1,TAUSB-SDH-DGCAIP-S0-R4-DIAG,TAUSB-SDH-DGCAIP-S0-R4-DIAG,not_started,/root/autodl-tmp/tausb-dgcaip-runs/TAUSB-SDH-DGCAIP-S0-R4-DIAG,codex/tausb-sdh-dgcaip-r4-d0-binding-fix-v1,,PULL-01,2026-08-27
PULL-01,P0,collect,artifacts,拉回最小证据集,按 manifest allowlist 拉回配置、状态、日志、replay、trace、归因和标签。,本地/远端 SHA256 一致；不拉数据集、权重、checkout cache 或无关文件。,local_cli,autodl-remote-pull-manifest,,核对 allowlist 与远端终态,每个 required artifact 有哈希,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-R4-D0-BINDING-FIX-v1.md:86,minimal_evidence_only:true,TAUSB-SDH-DGCAIP-R4-D0-BINDING-FIX-v1,TAUSB-SDH-DGCAIP-S0-R4-DIAG,TAUSB-SDH-DGCAIP-S0-R4-DIAG,not_started,research_workspace/experiments/TAUSB-SDH-DGCAIP-S0-R4-DIAG/remote_artifacts/,codex/tausb-sdh-dgcaip-r4-d0-binding-fix-v1,,INGEST-01,2026-08-27
INGEST-01,P1,analyze,evidence-ingest,登记 R4 诊断证据,以 no_AP50/no_victim 口径生成幂等 summary 和实验索引。,所有数值来自 artifacts；失败也保留；不写 target/non-target 改善结论。,local_cli,exp-results-ingest-local,,核对字段来源,确认无 AP50/UE/保护提升声明,未开始,未开始,未开始,未提交,codex,research_workspace/00-实验记录.md:1,claim_boundary:mechanism_diagnostic_only,TAUSB-SDH-DGCAIP-R4-D0-BINDING-FIX-v1,TAUSB-SDH-DGCAIP-S0-R4-DIAG,TAUSB-SDH-DGCAIP-S0-R4-DIAG,not_started,research_workspace/experiments/TAUSB-SDH-DGCAIP-S0-R4-DIAG/metrics-summary.json,codex/tausb-sdh-dgcaip-r4-d0-binding-fix-v1,,ANALYSIS-01,2026-08-27
