id,priority,phase,area,title,description,acceptance_criteria,test_mcp,required_skills,required_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes,spec_id,exp_id,run_id,remote_state,artifact_path,branch,commit_hash,next_action,updated_at
PARAM-01,P0,implement,parameterization,实现匹配的显式 C0/C2-LM 参数化与 gamma 标定,在独立 ICMO probe 中实现零均值、单位 RMS、正负对称的 16 维 C0 与 C2-LM 基；移除逐步 max 归一化；按冻结 seed 与样本量完成共享 gamma 标定和共享 z0 初始化。,C0/C2-LM 均只通过共享 gamma 与系数控制幅度；basis-only pooled pre-JND RMS 达到 0.35eps 的标定目标；固定输入产生确定性 hash；旧 BSC 路径行为不变。,local_cli,karpathy-guidelines,,逐项核对实现或执行结果与冻结 Spec、验收判据及证据路径一致,核对回退路径、旧 BSC 行为、claim boundary 与全部相关验证结果,已完成,已完成,已完成,已提交,codex,ue_project/ue_framework/methods/instance_canonical_carrier.py:17;ue_project/ue_framework/methods/instance_canonical_carrier.py:156;ue_project/tests/test_bsc_icmo_param.py:30,picked_reason:first implementation dependency;validation:Python314 CPU torch isolated runner 4 parameterization tests passed;validation:bundled Python py_compile pass;regression:git diff --exit-code old bsc_rc_gr_probe.py pass;review:explicit zero-mean unit-L2 sign-canonical bases and shared gamma remove stepwise max normalization;claim_boundary:parameterization mechanical only,TAUSB-BSC-ICMO-v1,TAUSB-BSC-ICMO-MECH-S0,,not_applicable,,codex/tausb-bsc-rc-gr-v1,023a75f20ccbd12cdec4701a12b90ae5c499a1cb,RENDER-01,2026-07-30
RENDER-01,P0,implement,rendering,实现 instance-canonical renderer 与匹配 global control,为每个 person bbox 将 canonical pattern 仿射缩放到实例坐标，使用 forced pseudo ellipse support，重叠区域取均值，再执行 JND 与 clamp；同时提供匹配的 global-coordinate 对照。,同一 canonical pattern 在不同 person 尺度/位置上保持对象相对坐标；重叠像素为算术均值；非 person 支持外扰动为零；明确记录 forced pseudo fallback 而非真实 mask。,local_cli,karpathy-guidelines,,逐项核对实现或执行结果与冻结 Spec、验收判据及证据路径一致,核对回退路径、旧 BSC 行为、claim boundary 与全部相关验证结果,已完成,已完成,已完成,已提交,codex,ue_project/ue_framework/methods/instance_canonical_carrier.py:300;ue_project/ue_framework/methods/instance_canonical_carrier.py:317;ue_project/ue_framework/support.py:49;ue_project/tests/test_bsc_icmo_renderer.py:44;ue_project/tests/test_bsc_icmo_support.py:11,"picked_reason:next dependency;depends_on:PARAM-01 satisfied;validation:4 pure torch renderer tests passed;validation:1 support-logic test passed with in-memory cv2 geometry substitute;validation:py_compile and diff-check pass;review:global and instance paths differ, overlap averages, out-of-box support fails closed, finite gradient;regression:new forced helper shares exact legacy bbox ellipse primitive;validation_gap:real OpenCV pytest deferred to LOCAL-VALIDATION-01",TAUSB-BSC-ICMO-v1,TAUSB-BSC-ICMO-MECH-S0,,not_applicable,,codex/tausb-bsc-rc-gr-v1,023a75f20ccbd12cdec4701a12b90ae5c499a1cb,INSTANCE-CICR-01,2026-07-30
INSTANCE-CICR-01,P0,implement,metrics,实现按 clean TAL target_gt_idx 分组的 Instance-CICR,将 clean TAL person positives 按 target_gt_idx 分组，在每个实例内汇聚 clean/poison 分类残差；再跨实例估计一致性、有效覆盖率、尺度与共现分组指标。,每个有效 person GT 只生成一个实例残差；无正样本实例被显式计入 coverage 分母；不再把同图多个 person 混成一个残差；空组和非有限值有明确处理。,local_cli,karpathy-guidelines,,逐项核对实现或执行结果与冻结 Spec、验收判据及证据路径一致,核对回退路径、旧 BSC 行为、claim boundary 与全部相关验证结果,已完成,已完成,已完成,已提交,codex,ue_project/ue_framework/methods/instance_cicr.py:42;ue_project/ue_framework/methods/instance_cicr.py:66;ue_project/ue_framework/methods/instance_cicr.py:202;ue_project/tests/test_bsc_icmo_instance_cicr.py:13,"picked_reason:next dependency;depends_on:PARAM-01 satisfied;validation:4 instance-CICR tests passed;validation:py_compile and diff-check pass;review:rows keyed by image and local gt index, zero-assignment instances remain in denominator, multi-scale separation and finite backward verified;regression:reuses existing train-only detached CICRPrototypeBank and held-out mutation fails closed;claim_boundary:mechanical grouping only",TAUSB-BSC-ICMO-v1,TAUSB-BSC-ICMO-MECH-S0,,not_applicable,,codex/tausb-bsc-rc-gr-v1,023a75f20ccbd12cdec4701a12b90ae5c499a1cb,PROBE-01,2026-07-30
PROBE-01,P0,implement,probe,实现四臂 ICMO matched probe 与配置入口,新增隔离的 probe_tausb_bsc_icmo.py 与 YAML，串联 G-C0、G-C2LM、I-C0、I-C2LM，4 步 route warmup + 40 步优化、固定 held-out affine audit、bootstrap 与完整 artifacts。,四臂共享 split、epsilon、support、gamma、z0、优化器与预算；只让 z 可训练；输出冻结 Spec 所列机械、几何、频带、保护、bootstrap、hash 和状态证据；feature-off/arm isolation 可验证。,local_cli,karpathy-guidelines,,逐项核对实现或执行结果与冻结 Spec、验收判据及证据路径一致,核对回退路径、旧 BSC 行为、claim boundary 与全部相关验证结果,已完成,已完成,已完成,已提交,codex,ue_project/ue_framework/methods/bsc_icmo_probe.py:85;ue_project/ue_framework/methods/bsc_icmo_probe.py:345;ue_project/ue_framework/methods/bsc_icmo_probe.py:842;ue_project/ue_framework/methods/bsc_icmo_probe.py:1135;ue_project/ue_framework/methods/bsc_icmo_probe.py:1514;ue_project/ue_framework/tools/probe_tausb_bsc_icmo.py:42;ue_project/ue_framework/configs/exp_voc_person_tausb_bsc_icmo_probe.yaml:1;ue_project/tests/test_bsc_icmo_probe.py:1,"picked_reason:all implementation dependencies satisfied;validation:18 new ICMO pytest passed in actual project venv;validation:CLI validate-only passed config hash 685333e6f6268a0a108e5b415d55fb3406605b8c9e07ab81c86284cd04f9d9bc;validation:py_compile and diff-check pass;regression:22 existing background/BSC/CICR/hooks/routes tests passed;review:four arms share z0,gamma,split,epsilon,optimizer,budget and differ only basis/renderer;review:mechanical preconditions stop before arm optimization;review:10k stratified paired bootstrap, affine audit, hashes, amplitude,basis,coverage,protection and claim gates reach metrics/status sinks;claim_boundary:surrogate mechanism only",TAUSB-BSC-ICMO-v1,TAUSB-BSC-ICMO-MECH-S0,,not_applicable,,codex/tausb-bsc-rc-gr-v1,023a75f20ccbd12cdec4701a12b90ae5c499a1cb,LOCAL-VALIDATION-01,2026-07-30
LOCAL-VALIDATION-01,P0,validate,validation,执行本地静态、定向测试与真实便宜 smoke,运行 compile、配置解析、定向 pytest、旧 BSC 回归测试，并用真实 VOC/YOLO 权重完成极小 ICMO smoke，核对数据流、有限值、hash、support 与 artifact schema。,所有定向测试和旧路径回归通过；真实 smoke 越过模型初始化与一个优化步骤；四臂输出有限且 schema 完整；不把 smoke 当作机制成功。,local_cli,karpathy-guidelines,,逐项核对实现或执行结果与冻结 Spec、验收判据及证据路径一致,核对回退路径、旧 BSC 行为、claim boundary 与全部相关验证结果,已完成,已完成,已完成,已提交,codex,ue_project/tests/test_bsc_icmo_param.py:1;ue_project/tests/test_bsc_icmo_renderer.py:1;ue_project/tests/test_bsc_icmo_support.py:1;ue_project/tests/test_bsc_icmo_instance_cicr.py:1;ue_project/tests/test_bsc_icmo_probe.py:1;ue_project/runs_research_local/TAUSB-BSC-ICMO-v1-smoke-20260730-b/smoke_metrics.json:1;ue_project/runs_research_local/TAUSB-BSC-ICMO-v1-smoke-20260730-b/status.json:1,"picked_reason:all implementation rows closed;validation:full repository pytest 77 passed;validation:formal CLI validate-only config hash 685333e6f6268a0a108e5b415d55fb3406605b8c9e07ab81c86284cd04f9d9bc;smoke_a:failed after real TAL due CPU NaN placeholder mixed with CUDA cosine, preserved status and fixed device inheritance;smoke_b:completed real VOC+YOLO+256-direction gamma+one I-C2LM backward+G-C0 forward;smoke_b:6 instances coverage 0.833333, total loss 2.734033, grad norm 7.149893, initial RMS ratio 1.005250, NCC median 0.999965, both outside-support max 0, basis ranks 16/16, model trainable 0, carrier trainable 48;review:all values finite and artifacts/schema complete;claim_boundary:mechanical smoke only, not mechanism or victim evidence",TAUSB-BSC-ICMO-v1,TAUSB-BSC-ICMO-MECH-S0,,not_applicable,,codex/tausb-bsc-rc-gr-v1,023a75f20ccbd12cdec4701a12b90ae5c499a1cb,PRERUN-REVIEW-01,2026-07-30
PRERUN-REVIEW-01,P0,review,review,昂贵运行前实现审查,独立重读冻结 Spec、代码 diff、本地证据与命令绑定，审查 CLI/config→runtime→loss/metric sink、baseline 回退、数据/seed/checkpoint/artifact root 与历史产物隔离。,生成 review handoff；结论为 pass；记录明确 branch 与 pre_run_code_commit；所有阻断项关闭后才可进入远程 probe。,manual,pre-run-implementation-review,,逐项核对实现或执行结果与冻结 Spec、验收判据及证据路径一致,核对回退路径、旧 BSC 行为、claim boundary 与全部相关验证结果,已完成,已完成,已完成,未提交,codex,issues/TAUSB-BSC-ICMO-v1.review.md:1;docs/research/specs/TAUSB-BSC-ICMO-v1.md:526;ue_project/ue_framework/methods/bsc_icmo_probe.py:1135,"picked_reason:implementation and local validation rows closed;pre_run_result:blocked;decision:do_not_run;pre_run_code_commit:023a75f20ccbd12cdec4701a12b90ae5c499a1cb;gated_run:REMOTE-PROBE-01;local_evidence:77 pytest pass, formal config validation pass, real VOC/YOLO mechanical smoke pass;blockers:no connected authorized AutoDL profile, remote checkout/environment/input hashes/artifact-root freshness unverified;claim_boundary:formal four-arm run not started",TAUSB-BSC-ICMO-v1,TAUSB-BSC-ICMO-MECH-S0,,not_applicable,,codex/tausb-bsc-rc-gr-v1,023a75f20ccbd12cdec4701a12b90ae5c499a1cb,完成 PRERUN-REMOTE-INPUTS-01 后执行 PRERUN-REVIEW-02,2026-07-30
PRERUN-REMOTE-INPUTS-01,P0,prepare,remote_inputs,核验 AutoDL 正式运行输入与环境,恢复授权的 AutoDL 连接，以只读方式核验精确 branch/commit、Python/CUDA/GPU、VOC 数据集、标签、shared split、背景 source manifest/local map、surrogate checkpoint、C0 coordinate pack、C2-LM basis hash 与 fresh artifact root。,所有冻结路径存在且 hash 与 Spec 一致；远端 checkout 精确绑定 pre-run code commit；GPU 环境可用；artifact root 不存在；不在仓库、CSV 或日志记录主机、端口、用户名、密钥。,remote_cli,mission-csv-execute,,逐项核对只读远端检查结果与冻结 Spec、commit 和路径一致,确认未创建或覆盖正式 artifact，未泄露连接秘密,未开始,未开始,未开始,未提交,codex,issues/TAUSB-BSC-ICMO-v1.review.md:1;docs/research/specs/TAUSB-BSC-ICMO-v1.md:510;ue_project/ue_framework/configs/exp_voc_person_tausb_bsc_icmo_probe.yaml:1,depends_on:PRERUN-REVIEW-01;blocker:no currently connected authorized AutoDL SSH profile;read_only:true;no_secret_persistence:true,TAUSB-BSC-ICMO-v1,TAUSB-BSC-ICMO-MECH-S0,,blocked,/root/autodl-tmp/ue_project/runs_research/TAUSB-BSC-ICMO-v1,codex/tausb-bsc-rc-gr-v1,023a75f20ccbd12cdec4701a12b90ae5c499a1cb,用户恢复或提供当前授权 AutoDL 连接后执行只读核验,2026-07-30
PRERUN-REVIEW-02,P0,review,review,远端输入核验后的二次昂贵运行前审查,基于 PRERUN-REMOTE-INPUTS-01 的新鲜证据，重新核对精确 checkout、环境、冻结输入、参数链、fresh artifact root、tmux/session/log 和正式命令绑定。,review handoff 追加独立二次审查；结论为 pass/allow_run；记录精确 branch、pre_run_code_commit、session、log 与内层命令后才开放 REMOTE-PROBE-01。,manual,pre-run-implementation-review,,逐项核对远端输入证据与冻结 Spec、代码快照和执行命令一致,再次核对 baseline 回退、非覆盖策略、claim boundary 与恢复策略,未开始,未开始,未开始,未提交,codex,issues/TAUSB-BSC-ICMO-v1.review.md:1;docs/research/specs/TAUSB-BSC-ICMO-v1.md:534,depends_on:PRERUN-REMOTE-INPUTS-01;hard_gate:REMOTE-PROBE-01;required_decision:pass/allow_run,TAUSB-BSC-ICMO-v1,TAUSB-BSC-ICMO-MECH-S0,,not_applicable,,codex/tausb-bsc-rc-gr-v1,023a75f20ccbd12cdec4701a12b90ae5c499a1cb,PRERUN-REMOTE-INPUTS-01 完成后构建独立二次 review packet,2026-07-30
REMOTE-PROBE-01,P0,remote,remote,在 AutoDL 持久会话运行 ICMO mechanism probe,从通过审查的 branch+commit 生成并执行 tmux 命令，记录 host/session/GPU/env/artifact root/log，并完成首步 go/no-go 与周期健康检查。,运行严格绑定 pre_run_code_commit；首个进度、有限 loss、GPU 进程、status/log/artifact root 均可核验；按 Spec stop/failure 条件处置。,remote_cli,autodl-remote-run-snippet,,逐项核对实现或执行结果与冻结 Spec、验收判据及证据路径一致,核对回退路径、旧 BSC 行为、claim boundary 与全部相关验证结果,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-BSC-ICMO-v1.md:502;AGENTS.md:1,gated_by:PRERUN-REVIEW-02;destructive_check:fresh artifact root required;depends_on:PRERUN-REVIEW-02;validation_command:remote tmux/status/log health check,TAUSB-BSC-ICMO-v1,TAUSB-BSC-ICMO-MECH-S0,,not_started,/root/autodl-tmp/ue_project/runs_research/TAUSB-BSC-ICMO-v1,codex/tausb-bsc-rc-gr-v1,,仅在 PRERUN-REVIEW-02 pass/allow_run 后启动远程 probe,2026-07-30
ARTIFACT-PULL-01,P0,remote,artifacts,安全拉回并校验最小远程证据集,根据完成状态生成 manifest，拉回 metrics/status/config/log/hash 等最小证据，校验路径、大小与 checksum，禁止覆盖既有 ExpID artifacts。,remote_artifacts 中存在可审计最小证据；manifest/checksum 完整；缺失项标 validation_gap；远程未完成时不伪造完成。,remote_cli,autodl-remote-pull-manifest,,逐项核对实现或执行结果与冻结 Spec、验收判据及证据路径一致,核对回退路径、旧 BSC 行为、claim boundary 与全部相关验证结果,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-BSC-ICMO-v1.md:538;AGENTS.md:1,gated_by:REMOTE-PROBE-01;depends_on:REMOTE-PROBE-01;validation_command:verify pull manifest and checksums,TAUSB-BSC-ICMO-v1,TAUSB-BSC-ICMO-MECH-S0,,not_applicable,research_workspace/experiments/TAUSB-BSC-ICMO-MECH-S0/remote_artifacts,codex/tausb-bsc-rc-gr-v1,,远程终态后按 manifest 拉回证据,2026-07-30
