id,priority,phase,area,title,description,acceptance_criteria,test_mcp,required_skills,required_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes,spec_id,exp_id,run_id,remote_state,artifact_path,branch,commit_hash,next_action,updated_at
SPEC-01,P0,plan,research-contract,固化批准的 P4 候选 E20 协议,冻结状态完整性门禁与科学机制门禁的角色以及稀疏成对 E20 范围。,Spec=approved；科学门禁失败不得伪装 PASS 但完整性 PASS 可进入候选 AP50；单 seed E20 仅 tentative。,manual,karpathy-guidelines,,逐节核对批准内容,确认未扩展 E200 多 seed EOT 或鲁棒性,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-P4-SPARSE-E20-v1.md,explicit_user_approval:2026-08-30,TAUSB-SDH-DGCAIP-P4-SPARSE-E20-v1,TAUSB-SDH-DGCAIP-S0-P4-SPARSE-E20,P4-SPARSE-E20-S0-R1,not_started,docs/research/specs/TAUSB-SDH-DGCAIP-P4-SPARSE-E20-v1.md,codex/tausb-sdh-dgcaip-p4-sparse-e20-v1,,ATTEST-01,2026-08-30
ATTEST-01,P0,implement,evidence-binding,固化确定性修复 attestation,将 G0/G1/G2 修复结论固化为小型 Git 文档并绑定 SHA256；不纳入 checkpoint 或 raw artifacts。,attestation hash 与配置一致；只证明执行 blocker 已关闭；不声称 P4/AP50 有效。,local_cli,karpathy-guidelines,,核对来源 commit/config/hash,确认未提交数据集权重与原始实验 artifacts,已完成,已完成,已完成,未提交,codex,docs/research/evidence/TAUSB-P1-DET-RESIZE-REPAIR-PASS-83f4307.md,sha256=f05f5f9ca255083d3697af69ad47127c28f8349219e1cf50530edd632bc91b3b,TAUSB-SDH-DGCAIP-P4-SPARSE-E20-v1,TAUSB-SDH-DGCAIP-S0-P4-SPARSE-E20,P4-SPARSE-E20-S0-R1,not_started,docs/research/evidence/TAUSB-P1-DET-RESIZE-REPAIR-PASS-83f4307.md,codex/tausb-sdh-dgcaip-p4-sparse-e20-v1,,P4-STATE-01,2026-08-30
P4-STATE-01,P0,implement,mechanism-state,生成严格确定性的 P4 候选状态,完整四臂 8 step 后独立计算 state_integrity；完整性通过即保存 raw P4 与候选物化状态并保留科学门禁结果。,strict backend；共享初始化与 batch；finite；至少一项更新；adapter 改变；Linf/support/roundtrip/frozen/orthogonality/null-dim 全通过。,remote_pytest,karpathy-guidelines,,核对每个 integrity check 的真实来源,旧 R3/R4 与 legacy P1 保存条件不变,已完成,待审查,待审查,未提交,codex,ue_project/ue_framework/methods/dgcaip_experiment.py,production_e20 only; no scientific-gate override,TAUSB-SDH-DGCAIP-P4-SPARSE-E20-v1,TAUSB-SDH-DGCAIP-S0-P4-SPARSE-E20,P4-SPARSE-E20-S0-R1,not_started,ue_project/ue_framework/methods/dgcaip_experiment.py,codex/tausb-sdh-dgcaip-p4-sparse-e20-v1,,BIND-01,2026-08-30
BIND-01,P0,implement,artifact-binding,新增 P4 候选状态 binder,绑定 candidate/raw/metrics/config 与全部来源哈希；允许 scientific=false 但 integrity 必须 true；仅生成 C0/M1 E20。,任一 hash/arm/protocol/integrity 不匹配 fail-closed；不生成 smoke/E200 配置。,remote_pytest,karpathy-guidelines,,核对无哈希循环和角色冒充,legacy E2E V0 binder 不变,已完成,待审查,待审查,未提交,codex,ue_project/ue_framework/tools/bind_tausb_sdh_dgcaip_p4_e20.py,scope=e20_only,TAUSB-SDH-DGCAIP-P4-SPARSE-E20-v1,TAUSB-SDH-DGCAIP-S0-P4-SPARSE-E20,P4-SPARSE-E20-S0-R1,not_started,ue_project/ue_framework/tools/bind_tausb_sdh_dgcaip_p4_e20.py,codex/tausb-sdh-dgcaip-p4-sparse-e20-v1,,MATERIALIZE-01,2026-08-30
MATERIALIZE-01,P0,implement,materializer,显式物化 P4-DGCAIP 候选状态,候选模式要求 source_arm=P4-DGCAIP 和完整 provenance；person bbox 内渲染；C0 原图清单与 M1 6095 PNG 稀疏布局。,旧 P1 formal/feasibility 不能加载候选；candidate 文件/hash/内容 hash 全验证；bbox 外零扰动。,remote_pytest,karpathy-guidelines,,核对候选与旧 P1 路径隔离,旧 E2E V0 materializer 回归通过,已完成,待审查,待审查,未提交,codex,ue_project/ue_framework/methods/sdh_materializer.py,explicit candidate contract,TAUSB-SDH-DGCAIP-P4-SPARSE-E20-v1,TAUSB-SDH-DGCAIP-S0-P4-SPARSE-E20,P4-SPARSE-E20-S0-R1,not_started,ue_project/ue_framework/methods/sdh_materializer.py,codex/tausb-sdh-dgcaip-p4-sparse-e20-v1,,EVAL-01,2026-08-30
EVAL-01,P0,implement,evaluation,扩展 P4 C0/M1 评估与历史 P1 对照,保留 person/19 类/宏平均/person-free/person-cooccur；逐类计算相对历史 P1 的额外下降并执行预注册判据。,两臂 identity/hash/gates 匹配；完整性 true；科学门禁可 false；Success/Failure/inconclusive 字符串与 Spec 一致。,remote_pytest,karpathy-guidelines,,核对连续指标先于分组判据,legacy E20/E200 比较不变,已完成,待审查,待审查,未提交,codex,ue_project/ue_framework/methods/sdh_evaluation.py,historical comparison sha256=fb1041032fc4b3a349bdb1a62e22b92f81fa7f79b44ffc0eb643437ff685340f,TAUSB-SDH-DGCAIP-P4-SPARSE-E20-v1,TAUSB-SDH-DGCAIP-S0-P4-SPARSE-E20,P4-SPARSE-E20-S0-R1,not_started,ue_project/ue_framework/methods/sdh_evaluation.py,codex/tausb-sdh-dgcaip-p4-sparse-e20-v1,,CONTROLLER-01,2026-08-30
CONTROLLER-01,P0,implement,controller,实现单次启动 P4 到成对 E20 控制器,precheck→mechanism→integrity binding→sparse pair→C0→M1→compare；总硬上限 2h；所有终态留证并关机。,exact clean commit；所有增长路径位于数据盘；stage heartbeat；C0 非零；fresh init 匹配；fatal/idle/timeout fail-closed。,remote_pytest,karpathy-guidelines,,核对嵌套控制器无静默超时,legacy sparse E20/E200 控制器回归通过,已完成,待审查,待审查,未提交,codex,ue_project/ue_framework/tools/run_tausb_sdh_dgcaip_p4_oneboot.py,wrapper cd repo/ue_project; one shutdown trap,TAUSB-SDH-DGCAIP-P4-SPARSE-E20-v1,TAUSB-SDH-DGCAIP-S0-P4-SPARSE-E20,P4-SPARSE-E20-S0-R1,not_started,research_workspace/experiments/TAUSB-SDH-DGCAIP-S0-P4-SPARSE-E20/pre_run/,codex/tausb-sdh-dgcaip-p4-sparse-e20-v1,,TEST-01,2026-08-30
TEST-01,P0,validate,tests,执行 focused 与回归测试,覆盖 candidate scientific-fail/integrity-pass、integrity-fail、旧 P1 隔离、binder hash、评估判据、控制器和 CLI。,本机 compile/AST/YAML 通过；AutoDL 无卡 focused pytest 全通过；无 fatal token；Bash syntax 通过。,remote_pytest,karpathy-guidelines,,每个批准门禁有明确断言,旧 SDH/DGCAIP/sparse suites 无回归,进行中,进行中,待审查,未提交,codex,ue_project/tests/,local compileall and YAML-attestation checks pass; full pytest requires AutoDL environment,TAUSB-SDH-DGCAIP-P4-SPARSE-E20-v1,TAUSB-SDH-DGCAIP-S0-P4-SPARSE-E20,P4-SPARSE-E20-S0-R1,not_started,ue_project/tests/,codex/tausb-sdh-dgcaip-p4-sparse-e20-v1,,CLEAN-SNAPSHOT-01,2026-08-30
CLEAN-SNAPSHOT-01,P0,release,git,创建无 artifacts 的干净可执行快照,只提交本 Spec 代码/测试/attestation/wrapper/CSV/review；从 83f4307 建新分支并应用单一任务提交。,远端 exact checkout 不含 3dc2aae raw evidence commit；git status clean；普通非 force push；不含数据集权重或实验 artifacts。,local_git,karpathy-guidelines,,逐路径审查 staged diff,确认不带既有 dirty worktree 和 heavy artifacts,未开始,未开始,未开始,未提交,codex,git:83f43070f04e2a98401ad17ec098c01d83d96665,do not rewrite current evidence branch,TAUSB-SDH-DGCAIP-P4-SPARSE-E20-v1,TAUSB-SDH-DGCAIP-S0-P4-SPARSE-E20,P4-SPARSE-E20-S0-R1,not_started,,codex/tausb-sdh-dgcaip-p4-sparse-e20-v1,,REMOTE-NOCARD-01,2026-08-30
REMOTE-NOCARD-01,P0,review,remote-no-card,远端无卡精确运行审查,在 AutoDL 精确干净 checkout 运行 focused pytest/CLI/Bash/config/input/hash/path/disk/fresh-root 审查；不启动 CUDA mechanism。,pytest 全绿；输入 hash/count 精确；输出根不存在；数据盘/系统盘门禁通过；无活跃实验。,remote_cpu,karpathy-guidelines,,只读输入与小型测试产物,确认未启动 GPU 训练或改数据集,未开始,未开始,未开始,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-P4-SPARSE-E20-v1.md,requires no-card instance reachable,TAUSB-SDH-DGCAIP-P4-SPARSE-E20-v1,TAUSB-SDH-DGCAIP-S0-P4-SPARSE-E20,P4-SPARSE-E20-S0-R1,not_started,,codex/tausb-sdh-dgcaip-p4-sparse-e20-v1,,PRERUN-REVIEW-01,2026-08-30
