id,priority,phase,area,title,description,acceptance_criteria,test_mcp,required_skills,required_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes,spec_id,exp_id,run_id,remote_state,artifact_path,branch,commit_hash,next_action,updated_at
APPROVAL-01,P0,approval,research,冻结 DG-CAIP v2 Spec,记录用户批准并冻结 KL/JS 方向修正、D0 门禁、mechanism arms、E20 判据和声明边界。,Spec status=approved 且批准日期已记录；后续任务均引用同一 SpecID。,manual,mission-approved-doc,,核对实现、输入来源和 Spec 原子判据一致。,核对 feature-off、旧路径与 claim/evidence 边界无回归。,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-CGR-E20-v2.md:1,depends_on:none;approval:user_explicit_approved;claim_boundary:single_seed_e20_tentative,TAUSB-SDH-DGCAIP-CGR-E20-v2,TAUSB-SDH-DGCAIP-S0-E20,DGCAIP-S0-R1,not_applicable,,codex/tausb-sdh-dgcaip-cgr-e20-v2,,BRANCH-01,2026-08-17
BRANCH-01,P0,git,versioning,建立隔离实现分支,从当前代码快照创建 DG-CAIP 同名分支，不 stash/reset/覆盖用户 dirty worktree。,当前分支为 codex/tausb-sdh-dgcaip-cgr-e20-v2；原有修改和 artifacts 均保持不变。,local_cli,karpathy-guidelines,,核对实现、输入来源和 Spec 原子判据一致。,核对 feature-off、旧路径与 claim/evidence 边界无回归。,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-CGR-E20-v2.md:1,depends_on:APPROVAL-01;preserve_dirty_worktree:true;picked_reason:first_unfinished_P0_after_approval;branch_created:codex/tausb-sdh-dgcaip-cgr-e20-v2;dirty_worktree_preserved:true,TAUSB-SDH-DGCAIP-CGR-E20-v2,TAUSB-SDH-DGCAIP-S0-E20,DGCAIP-S0-R1,not_applicable,,codex/tausb-sdh-dgcaip-cgr-e20-v2,,DIVERGENCE-01,2026-08-17
DIVERGENCE-01,P0,implement,method,实现检测头适配的实例级分布散度,新增排除 person 维度的 temperature-scaled Bernoulli-JS 与 one-way Bernoulli-KL 诊断。,identical logits 得 0；JS 对称有界；T=2、概率 clamp、person 维排除、teacher detach 和 finite backward 均有测试。,local_cli,karpathy-guidelines,,核对实现、输入来源和 Spec 原子判据一致。,核对 feature-off、旧路径与 claim/evidence 边界无回归。,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-CGR-E20-v2.md:70;ue_project/ue_framework/methods/non_target_logit_alignment.py:1,depends_on:BRANCH-01;picked_reason:first_unfinished_P0_dependency_satisfied;implementation:non_target_distribution_divergence.py;focused_tests:6_passed;regression_with_nla:11_passed;diff_check:pass;claim:mechanical_only,TAUSB-SDH-DGCAIP-CGR-E20-v2,TAUSB-SDH-DGCAIP-S0-E20,DGCAIP-S0-R1,not_applicable,,codex/tausb-sdh-dgcaip-cgr-e20-v2,,INSTANCE-AGG-01,2026-08-17
INSTANCE-AGG-01,P0,implement,method,实现 clean-TAL 非目标 GT 实例聚合,用 clean fg_mask、target_gt_idx、target labels 把相同 positives 映射到真实非目标 GT；poison 分支不得重分配。,实例/类别聚合正确；无 person/无非目标/空 positives/invalid GT fail closed；大小实例不按 anchor 数主导。,local_cli,karpathy-guidelines,,核对实现、输入来源和 Spec 原子判据一致。,核对 feature-off、旧路径与 claim/evidence 边界无回归。,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-CGR-E20-v2.md:54;ue_project/ue_framework/methods/sdh_mechanism.py:1,depends_on:DIVERGENCE-01;picked_reason:first_unfinished_P0_dependency_satisfied;implementation:cooccurrence_instance_preservation.py;focused_plus_regression_tests:17_passed;clean_tal_fixed:true;person_cooccur_only:true;claim:mechanical_only,TAUSB-SDH-DGCAIP-CGR-E20-v2,TAUSB-SDH-DGCAIP-S0-E20,DGCAIP-S0-R1,not_applicable,,codex/tausb-sdh-dgcaip-cgr-e20-v2,,DGCAIP-01,2026-08-17
DGCAIP-01,P0,implement,method,实现 DG-CAIP 结构保护与高散度权重,接入 cls/box/TAL/JS 实例损失、几何风险和 detached percentile hardness；权重有界并均值归一。,高散度权重单调；少于4实例回退；权重均值1且无权重梯度；warm-up lambda 只用 calibration 并冻结。,local_cli,karpathy-guidelines,,核对实现、输入来源和 Spec 原子判据一致。,核对 feature-off、旧路径与 claim/evidence 边界无回归。,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-CGR-E20-v2.md:91;docs/research/specs/TAUSB-SDH-CAIP-CGR-E20-v1.md:54,depends_on:INSTANCE-AGG-01;picked_reason:first_unfinished_P0_dependency_satisfied;implementation:dgcaip.py;focused_plus_regression_tests:23_passed;ast:3_passed;weights:detached_bounded_mean_one;calibration:warmup_one_shot;claim:mechanical_only,TAUSB-SDH-DGCAIP-CGR-E20-v2,TAUSB-SDH-DGCAIP-S0-E20,DGCAIP-S0-R1,not_applicable,,codex/tausb-sdh-dgcaip-cgr-e20-v2,,CGR-INTEGRATION-01,2026-08-17
CGR-INTEGRATION-01,P0,implement,optimization,接入逐类 combined protection 与固定预算 CGR,以 NLA+DG-CAIP 逐类梯度构造 row space，只投影 target 分量并把显式保护总 norm 固定为0.25倍。,"row-dot<=1e-5；null/rank/full-rank/无 active class 有测试；预算比在[0.20,0.30]；五次四指标回溯和 skip 正确。",local_cli,karpathy-guidelines,,核对实现、输入来源和 Spec 原子判据一致。,核对 feature-off、旧路径与 claim/evidence 边界无回归。,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-CGR-E20-v2.md:124;ue_project/ue_framework/methods/constraint_gradient_router.py:1,depends_on:DGCAIP-01;picked_reason:first_unfinished_P0_dependency_satisfied;implementation:budgeted_protection_route_and_heterogeneous_backtracking;focused_plus_existing_cgr_tests:33_passed;protection_ratio_exact:0.25;max_backtracks:5;claim:mechanical_only,TAUSB-SDH-DGCAIP-CGR-E20-v2,TAUSB-SDH-DGCAIP-S0-E20,DGCAIP-S0-R1,not_applicable,,codex/tausb-sdh-dgcaip-cgr-e20-v2,,RUNNER-01,2026-08-17
RUNNER-01,P0,implement,experiment,实现 D0 与 P1/P2/P3/P4 matched runner,实现只读 D0 locator 诊断及共享初值、batch、target loss 的四个 mechanism arms。,D0 输出 Spearman、Q1-Q4、coverage 和逐类统计；arms hash 一致且 held-out read-only；P1 feature-off 无回归。,local_cli,karpathy-guidelines,,核对实现、输入来源和 Spec 原子判据一致。,核对 feature-off、旧路径与 claim/evidence 边界无回归。,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-CGR-E20-v2.md:143;ue_project/ue_framework/methods/sdh_experiment.py:1,depends_on:CGR-INTEGRATION-01;picked_reason:first_unfinished_P0_dependency_satisfied;implementation:dgcaip_experiment_dispatch_d0_and_four_arms;shared_initial_hash:runtime_asserted;heldout_read_only:true;arm_switches:frozen;tests:58_passed;spec_clarification:js_candidate_nonincrease_preupdate_plus_1e-9;claim:mechanical_only;historical_p1_replay:sha256_bound_abs1e-6_rel1e-4;regression_tests:60_passed,TAUSB-SDH-DGCAIP-CGR-E20-v2,TAUSB-SDH-DGCAIP-S0-E20,DGCAIP-S0-R1,not_applicable,,codex/tausb-sdh-dgcaip-cgr-e20-v2,,CONFIG-01,2026-08-17
CONFIG-01,P0,implement,configuration,接通 DG-CAIP 配置、provenance 与 sparse state,增加 enable_dgcaip、T、hardness、loss/backtracking 参数和 P4 state provenance，并保持旧配置精确回退。,CLI/config→runtime→active loss/metric/state sink 可追踪；feature-off 输出与 current NLA+CGR 在容差内一致；无旧 TAUSB fallback。,local_cli,karpathy-guidelines,,核对实现、输入来源和 Spec 原子判据一致。,核对 feature-off、旧路径与 claim/evidence 边界无回归。,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-CGR-E20-v2.md:187;ue_project/ue_framework/config.py:1,depends_on:RUNNER-01;picked_reason:first_unfinished_P0_dependency_satisfied;configs:d0_runnable+mechanism_template_fail_closed;binder:true_d0_hash+remote_reference;source_p1_metrics_sha256:fa0b99cb3df0ad834ab20373a877022a640d5ab67bb53099de229bf949c77358;source_p1_state_sha256:2e102026a9356116de38acb1f5056bf5728afcd453e3447b516d4222f4d70b81;config_and_regression_tests:65_passed,TAUSB-SDH-DGCAIP-CGR-E20-v2,TAUSB-SDH-DGCAIP-S0-E20,DGCAIP-S0-R1,not_applicable,,codex/tausb-sdh-dgcaip-cgr-e20-v2,,LOCAL-VALIDATION-01,2026-08-17
LOCAL-VALIDATION-01,P0,test,validation,运行 DG-CAIP focused 与回归验证,运行单元测试、synthetic D0、finite backward、配置解析、Python3.8 AST/compile、CLI/diff 检查。,全部相关验证通过；本地机械证据不冒充真实 D0、mechanism 或 fresh-victim AP50。,local_cli,karpathy-guidelines,,核对实现、输入来源和 Spec 原子判据一致。,核对 feature-off、旧路径与 claim/evidence 边界无回归。,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-CGR-E20-v2.md:187;ue_project/tests:1,depends_on:CONFIG-01;picked_reason:first_unfinished_P0_dependency_satisfied;broad_sdh_dgcaip_regression:166_passed;python38_ast_compile:9_ok;module_cli:run_and_binder_help_pass;d0_config_parse:pass;synthetic_d0_and_binder:covered;direct_file_cli:not_used_known_module_contract;scientific_claim:none,TAUSB-SDH-DGCAIP-CGR-E20-v2,TAUSB-SDH-DGCAIP-S0-E20,DGCAIP-S0-R1,not_applicable,,codex/tausb-sdh-dgcaip-cgr-e20-v2,,GIT-SNAPSHOT-01,2026-08-17
GIT-SNAPSHOT-01,P0,git,versioning,创建 exact pre-run 代码快照,只显式 stage 本 Spec/CSV/review、DG-CAIP 代码配置和测试；不纳入数据、权重、artifacts、凭据或无关改动。,提交存在并记录 SHA；普通非 force push 到同名分支；远端 SHA 一致且无关 dirty files 保留。,local_cli,karpathy-guidelines,,核对实现、输入来源和 Spec 原子判据一致。,核对 feature-off、旧路径与 claim/evidence 边界无回归。,已完成,已完成,已完成,已提交,codex,docs/research/specs/TAUSB-SDH-DGCAIP-CGR-E20-v2.md:1,depends_on:LOCAL-VALIDATION-01;push:ordinary_non_force;scope:explicit_task_files_only;picked_reason:first_unfinished_P0_dependency_satisfied;local_commit:b682f9d;explicit_task_files:21;unrelated_dirty_preserved:true;push_blocked:requires_explicit_destination_authorization;push_authorized:user_explicit;remote:https://github.com/gql119/autodl-tmp.git;remote_branch:codex/tausb-sdh-dgcaip-cgr-e20-v2;remote_sha_verified:b682f9d428a426d0cca62f5a6a0fc599a0853b4e;push:ordinary_non_force,TAUSB-SDH-DGCAIP-CGR-E20-v2,TAUSB-SDH-DGCAIP-S0-E20,DGCAIP-S0-R1,not_applicable,,codex/tausb-sdh-dgcaip-cgr-e20-v2,b682f9d428a426d0cca62f5a6a0fc599a0853b4e,PRERUN-REVIEW-01,2026-08-17
