id,priority,phase,area,title,description,acceptance_criteria,test_mcp,required_skills,required_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes,spec_id,exp_id,run_id,remote_state,artifact_path,branch,commit_hash,next_action,updated_at
APPROVAL-01,P0,prepare,spec,Freeze approved single-secret SDH Spec,Register the user-approved building-secret SDH/D-LFC/CICR/NLA/CGR contract as the only active execution input.,"Spec status is approved; user approval, single-final-secret decision, Research Contract and validated CSV are recorded.",local_cli,karpathy-guidelines,,"Check implementation, single-final-secret protocol, active parameter path and evidence against the approved Spec.","Check independent switches, fail-closed paths, no-EOT, no silent legacy method fallback and claim boundary.",已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3.md:1;issues/TEMPLATE.csv:1,approval_evidence:user message 2026-08-11;route:mission-doc-route->mission-approved-doc;single_final_secret:bg-building-sky-09,TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3,TAUSB-SDH-LFC-CICR-CGR-NLA-S0,,not_applicable,,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,INPUT-AUDIT-01,2026-08-11
INPUT-AUDIT-01,P0,prepare,inputs,Persist and audit secret and VOC inputs,"Persist the primary and three pretrain secrets, freeze hashes, and audit the exact local VOC YOLO splits and labels read-only.",Primary source and durable hashes match; preprocessed hash is recorded; train/val image-label stems match; train person images=6095 and val=2007; labels are valid 20-class YOLO; all secret hashes have zero VOC overlap; the frozen input manifest uses no Temp/Desktop path.,local_cli,karpathy-guidelines,,"Check implementation, single-final-secret protocol, active parameter path and evidence against the approved Spec.","Check independent switches, fail-closed paths, no-EOT, no silent legacy method fallback and claim boundary.",已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3.md:83;research_workspace/sources/secret_assets/manifest.json:1;research_workspace/sources/voc_input_audit_v1.json:1;issues/TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3.review.md:1,"depends_on:APPROVAL-01;dataset_root:F:/dateset/VOC_0712_Kaggle_Ready/VOC_0712_Kaggle_Ready;picked_reason:first incomplete P0 and closes exact input gate;execution_started:2026-08-11;evidence:voc_audit_overall_pass=true,train=16551,val=4952,train_person=6095,val_person=2007,invalid=0,secret_overlap=0;primary_source_sha256:66bd89ebef12b21d578341e945d56ed315372b213e52c2cc07d2110543cc6a48;processed_png_sha256:4cd6fef0886ef87e61d4d64fb6b17e52a560afa64fea62b18502cd6933c3749e;review:pass",TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3,TAUSB-SDH-LFC-CICR-CGR-NLA-S0,,not_applicable,,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,CODE-AUDIT-01,2026-08-11
CODE-AUDIT-01,P0,prepare,architecture,Freeze the minimal integration surface,Trace the active launch/config/runtime/generate/YOLO feature/CICR/CGR path and isolate tausb_sdh from old SIRC/MALC state.,A path:line map covers config through artifact sinks; reuse/new modules and fail-closed behavior are explicit; no unresolved design error remains.,local_cli,karpathy-guidelines,,"Check implementation, single-final-secret protocol, active parameter path and evidence against the approved Spec.","Check independent switches, fail-closed paths, no-EOT, no silent legacy method fallback and claim boundary.",已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3.md:258;ue_project/ue_framework/launch_one.py:1;ue_project/ue_framework/stages/generate.py:1;issues/TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3.review.md:35,"depends_on:INPUT-AUDIT-01;preserve_dirty_worktree:true;no_unrelated_refactor:true;execution_started:2026-08-11;picked_reason:next dependency-closed P0 row;evidence:minimal_integration_map_frozen;reuse:tower_hooks,real_TAL,instance_CICR,generic_CGR,base_materializer,strict_AP50;exclude:Fourier,JND,pseudo_support,MALC;design_error:none;review:pass",TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3,TAUSB-SDH-LFC-CICR-CGR-NLA-S0,,not_applicable,,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,HIDING-01,2026-08-11
HIDING-01,P0,implement,carrier,Implement host-conditioned DWT hiding,"Implement fixed Haar DWT, four affine coupling blocks, frozen trunk/reveal and trainable omega adapter rendered inside person GT boxes.",Architecture/hash matches Spec; same host is deterministic and different hosts differ; no image-id lookup; support and overlap semantics are exact; Linf<=16/255+1/255; finite forward/backward.,local_cli,karpathy-guidelines,,"Check implementation, single-final-secret protocol, active parameter path and evidence against the approved Spec.","Check independent switches, fail-closed paths, no-EOT, no silent legacy method fallback and claim boundary.",已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3.md:83;ue_project/ue_framework/methods/semantic_hiding_carrier.py:1;ue_project/tests/test_semantic_hiding_carrier.py:1;issues/TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3.review.md:82,"depends_on:CODE-AUDIT-01;final_secret:bg-building-sky-09;pretrain_bank_only_for_decoder_anti_collapse:true;execution_started:2026-08-11;picked_reason:next dependency-closed P0 row;evidence:pytest tests/test_semantic_hiding_carrier.py 6_passed;python38_ast:pass;formal_params:285359;architecture_sha256:8812eb926f7b39637f9562a189d2aa001f3e45336e4e0aeb203954ac9929e7e6;real_voc_smoke:000009,000017,finite,distinct,linf=0.0146779;review:pass",TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3,TAUSB-SDH-LFC-CICR-CGR-NLA-S0,,not_applicable,,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,HIDING-LOCAL-01,2026-08-11
HIDING-LOCAL-01,P0,validate,carrier_validation,Validate hiding mechanical gates,"Test retrieval, recovery, support/Linf, diversity, spectrum and phase control without victim training.","Metric code passes deterministic pass/collapse fixtures for retrieval, recovery margin, diversity, spectrum, Linf and support; a short CPU pretrain smoke has finite nonzero gradients and decreasing reveal loss; actual Spec thresholds remain gated by REMOTE-HIDING-01 and HIDING-GATE-01.",local_cli,karpathy-guidelines,,"Check implementation, single-final-secret protocol, active parameter path and evidence against the approved Spec.","Check independent switches, fail-closed paths, no-EOT, no silent legacy method fallback and claim boundary.",已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3.md:281;ue_project/ue_framework/methods/semantic_hiding_validation.py:1;ue_project/tests/test_semantic_hiding_validation.py:1;issues/TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3.review.md:90,"depends_on:HIDING-01;mechanical_evidence_only:true;no_victim_claim:true;execution_started:2026-08-11;picked_reason:next dependency-closed P0 row;csv_decomposition_fix:formal hiding thresholds moved to existing REMOTE-HIDING/HIDING-GATE rows;Spec_semantics_unchanged:true;evidence:carrier_plus_validation_pytest=11_passed;python38_ast=pass;cpu_pretrain_steps=60,reveal_1=0.3694704,reveal_60=0.3108912,finite_nonzero_gradients;formal_thresholds:deferred_to_REMOTE-HIDING;review:pass",TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3,TAUSB-SDH-LFC-CICR-CGR-NLA-S0,,not_applicable,,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,DLFC-01,2026-08-11
DLFC-01,P0,implement,loss,Implement detector-aware D-LFC,Extract frozen VOC20 YOLO P3/P4/P5 cv3 pre-logit features for canonical deltas and apply detached calibration prototypes.,Extractor is frozen; scale/shape handling is explicit; held-out is read-only; degenerate inputs fail closed; loss and omega gradients are finite/nonzero; diversity diagnostics persist.,local_cli,karpathy-guidelines,,"Check implementation, single-final-secret protocol, active parameter path and evidence against the approved Spec.","Check independent switches, fail-closed paths, no-EOT, no silent legacy method fallback and claim boundary.",已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3.md:152;ue_project/ue_framework/methods/detector_lfc.py:1;ue_project/tests/test_detector_lfc.py:1,depends_on:HIDING-LOCAL-01;no_resnet18:true;execution_started:2026-08-11;picked_reason:next dependency-closed P0 row;evidence:detector_lfc_plus_related_pytest=19_passed;detector_frozen=true;delta_gradient=finite_nonzero;calibration_only_frozen_prototypes=true;degenerate_fail_closed=true;equal_scale_weighting=true;review:pass,TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3,TAUSB-SDH-LFC-CICR-CGR-NLA-S0,,not_applicable,,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,CICR-01,2026-08-11
CICR-01,P0,implement,loss,Integrate detector-aware CICR and energy floor,Use clean real TAL/PAG person positives for P3/P4/P5 clean-to-poison residual directions and detector-eligible floors.,GT assignment weighting is correct; prototypes/tau are calibration-only and frozen; edge cases are tested; coverage/zero/floor metrics persist; gradients are finite.,local_cli,karpathy-guidelines,,"Check implementation, single-final-secret protocol, active parameter path and evidence against the approved Spec.","Check independent switches, fail-closed paths, no-EOT, no silent legacy method fallback and claim boundary.",已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3.md:172;ue_project/ue_framework/methods/instance_cicr.py:1;ue_project/tests/test_sdh_instance_cicr.py:1,depends_on:DLFC-01;keep_dlfc_and_cicr_distinct:true;execution_started:2026-08-11;picked_reason:next dependency-closed P0 row;evidence:cicr_related_pytest=21_passed;real_gt_assignment=true;calibration_only_frozen_prototypes=true;independent_energy_floor_hinge=true;equal_instance_weighting=true;finite_gradients=true;review:pass,TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3,TAUSB-SDH-LFC-CICR-CGR-NLA-S0,,not_applicable,,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,NLA-01,2026-08-11
NLA-01,P0,implement,protection,Implement class-balanced non-target logit alignment,"Align clean-teacher and poison raw assigned-class logits on real non-target TAL positives, class macro averaged.",Teacher is detached; target/background/pseudo locations are excluded; exact-clean loss is zero; no-active and imbalance tests pass; lambda is calibrated once.,local_cli,karpathy-guidelines,,"Check implementation, single-final-secret protocol, active parameter path and evidence against the approved Spec.","Check independent switches, fail-closed paths, no-EOT, no silent legacy method fallback and claim boundary.",已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3.md:213;ue_project/ue_framework/methods/non_target_logit_alignment.py:1;ue_project/tests/test_non_target_logit_alignment.py:1,depends_on:CICR-01;assigned_class_only:first_round;execution_started:2026-08-11;picked_reason:next dependency-closed P0 row;evidence:nla_related_pytest=15_passed;raw_assigned_logit=true;clean_teacher_detached=true;real_tal_only=true;target_background_pseudo_excluded=true;class_macro=true;one_shot_lambda_calibration=true;review:pass,TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3,TAUSB-SDH-LFC-CICR-CGR-NLA-S0,,not_applicable,,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,CGR-01,2026-08-11
CGR-01,P0,implement,routing,Integrate orthogonal target routing and NLA descent,"Project the omega target gradient into the per-class NLA nullspace, add explicit NLA descent, and run up to five nonlinear backtracks.",SVD rtol=1e-4; projected row dots<=1e-5; rank edge cases/sign tests pass; class probability drop<=0.005 or update skips; routing metrics are finite.,local_cli,karpathy-guidelines,,"Check implementation, single-final-secret protocol, active parameter path and evidence against the approved Spec.","Check independent switches, fail-closed paths, no-EOT, no silent legacy method fallback and claim boundary.",已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3.md:233;ue_project/ue_framework/methods/constraint_gradient_router.py:1;ue_project/tests/test_sdh_multi_parameter_cgr.py:1,depends_on:NLA-01;projection_scope:all_omega;max_backtracks:5;execution_started:2026-08-11;picked_reason:next dependency-closed P0 row;evidence:cgr_related_pytest=17_passed;svd_rtol=1e-4;all_omega_flatten_unflatten=true;projected_row_dot_le_1e-5=true;explicit_nla_descent=true;nonlinear_backtrack=5;unsafe_update_skips=true;review:pass,TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3,TAUSB-SDH-LFC-CICR-CGR-NLA-S0,,not_applicable,,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,PIPELINE-01,2026-08-11
PIPELINE-01,P0,implement,entrypoint,Bind tausb_sdh generation and materialization,"Connect fixed secret through hiding, D-LFC/CICR/easy route, NLA/CGR and deterministic materialization with independent switches.",CLI/config/runtime path is traceable; deep-hiding off fails closed; no EOT/JND; re-render hash is deterministic; old tausb_mask is unchanged and never selected silently.,local_cli,karpathy-guidelines,,"Check implementation, single-final-secret protocol, active parameter path and evidence against the approved Spec.","Check independent switches, fail-closed paths, no-EOT, no silent legacy method fallback and claim boundary.",已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3.md:258;ue_project/ue_framework/config.py:1;ue_project/ue_framework/methods/factory.py:1;ue_project/ue_framework/methods/sdh_materializer.py:1;ue_project/ue_framework/methods/sdh_mechanism.py:1;ue_project/ue_framework/methods/sdh_experiment.py:1;ue_project/ue_framework/tools/run_tausb_sdh.py:1,depends_on:CGR-01;method:tausb_sdh;eps:16/255;execution_started:2026-08-11;evidence:joint_pytest=45_passed;formal_config_and_cli=pass;real_voc_tal_smoke=000009;target_positives=9;foreground=40;person_instances=3;p3p4p5_shapes=3x64;linf=0.0285735;outside=0;adapter_grad_finite_nonzero;no_eot=true;no_jnd=true;no_legacy_fallback=true;mechanical_evidence_only=true;review:pass,TAUSB-SDH-LFC-CICR-CGR-NLA-MAP50-v3,TAUSB-SDH-LFC-CICR-CGR-NLA-S0,,not_applicable,,codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3,,EVAL-01,2026-08-11
