id,priority,phase,area,title,description,acceptance_criteria,test_mcp,required_skills,required_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes,spec_id,exp_id,run_id,remote_state,artifact_path,branch,commit_hash,next_action,updated_at
APPROVAL-01,P0,prepare,spec,冻结并登记已批准的梯度几何审计 Spec,将用户批准的 calibration-only MALC 梯度几何诊断登记为唯一活动执行合同。,Spec status=approved；问题边界、first-bad-boundary 顺序、Research Contract、无 victim/AP50 非目标与费用门禁完整；CSV 结构校验通过。,local_cli,karpathy-guidelines,,逐项核对实现、活动参数链、固定阈值与批准 Spec 一致,核对旧 v2 入口、MALC-off A0、no-EOT、held-out 只读与 claim boundary,已完成,已完成,已完成,已提交,codex,docs/research/specs/TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1.md:1;issues/TEMPLATE.csv:1,approval_evidence:user message 2026-08-10;route:mission-doc-route->mission-approved-doc;picked_reason:first row after explicit approval,TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1,TAUSB-MALC-GRAD-GEOMETRY-S0,,not_applicable,,codex/tausb-malc-grad-geometry-audit-v1,354ad58c067968e3e4b6dd220bfdf262fea1fa7a,PROTOTYPE-GEOMETRY-01,2026-08-10
PROTOTYPE-GEOMETRY-01,P0,implement,prototype,实现原型 resultant 与 leave-one-batch 稳定性,对 calibration residual 按尺度计算方向 resultant、coverage 和 leave-one-batch prototype cosine，保留 full prototype 原语义。,单峰/双峰/相消/零向量和缺 batch 行为可判定；只使用 calibration；held-out 不回写；所有输出 finite 或显式 invalid；不改变 frozen prototype hash/内容。,local_cli,karpathy-guidelines,,逐项核对实现、活动参数链、固定阈值与批准 Spec 一致,核对旧 v2 入口、MALC-off A0、no-EOT、held-out 只读与 claim boundary,已完成,已完成,未开始,已提交,codex,docs/research/specs/TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1.md:66;ue_project/ue_framework/methods/malc_calibration.py:24,depends_on:APPROVAL-01;evidence:tests/test_malc_geometry_audit.py;implementation:malc_geometry_audit.py,TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1,TAUSB-MALC-GRAD-GEOMETRY-S0,,not_applicable,,codex/tausb-malc-grad-geometry-audit-v1,354ad58c067968e3e4b6dd220bfdf262fea1fa7a,GRADIENT-GEOMETRY-01,2026-08-10
GRADIENT-GEOMETRY-01,P0,implement,gradient,实现 component 与跨 batch 梯度几何,提取 easy-cls、MALC、RMS 对 48 个 carrier coefficients 的独立梯度并计算 batch 内和 MALC 跨 batch cosine。,三 component 梯度均连接且 finite；norm/cosine 使用 detached float64 CPU 统计；跨 batch 组合无重复/漏项；零 norm fail closed；不保留 detector graph。,local_cli,karpathy-guidelines,,逐项核对实现、活动参数链、固定阈值与批准 Spec 一致,核对旧 v2 入口、MALC-off A0、no-EOT、held-out 只读与 claim boundary,已完成,已完成,未开始,已提交,codex,docs/research/specs/TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1.md:69;ue_project/ue_framework/methods/malc_calibration.py:170;ue_project/ue_framework/methods/sirc_probe.py:455,depends_on:PROTOTYPE-GEOMETRY-01;evidence:detached float64 component and unique cross-batch tests,TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1,TAUSB-MALC-GRAD-GEOMETRY-S0,,not_applicable,,codex/tausb-malc-grad-geometry-audit-v1,354ad58c067968e3e4b6dd220bfdf262fea1fa7a,CGR-COMPONENT-01,2026-08-10
CGR-COMPONENT-01,P0,implement,routing,审计每个目标 component 的 CGR 保留率,在同一 batch、同一 clean non-target constraint row space 下分别投影 easy、MALC、RMS 梯度并记录 rho 与投影余弦。,所有 component 复用等价 projector/active rows；rank0/full-rank/正交/选择性抑制测试正确；max row dot<=1e-5；不执行 nonlinear candidate 或更新参数。,local_cli,karpathy-guidelines,,逐项核对实现、活动参数链、固定阈值与批准 Spec 一致,核对旧 v2 入口、MALC-off A0、no-EOT、held-out 只读与 claim boundary,已完成,已完成,未开始,已提交,codex,docs/research/specs/TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1.md:77;ue_project/ue_framework/methods/constraint_gradient_router.py:66,depends_on:GRADIENT-GEOMETRY-01;non_target_protection:read-only CGR geometry;evidence:rank0/selective suppression/row-dot tests,TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1,TAUSB-MALC-GRAD-GEOMETRY-S0,,not_applicable,,codex/tausb-malc-grad-geometry-audit-v1,354ad58c067968e3e4b6dd220bfdf262fea1fa7a,MICROTRAJECTORY-01,2026-08-10
MICROTRAJECTORY-01,P0,implement,trajectory,实现 8 步匹配 A0/A1 微轨迹,从相同 warm coefficients 出发，用 calibration 前 8 个 batch 运行匹配 A0/A1，记录实际 update、coefficients、pattern 和 CGR 路由差异。,A0/A1 初值和 batch 顺序逐字节一致且只差 MALC；沿用 frozen weights/LR/backtracking；D_theta/D_pattern 定义准确；不冻结 carrier、不允许 victim；held-out 无更新。,local_cli,karpathy-guidelines,,逐项核对实现、活动参数链、固定阈值与批准 Spec 一致,核对旧 v2 入口、MALC-off A0、no-EOT、held-out 只读与 claim boundary,已完成,已完成,未开始,已提交,codex,docs/research/specs/TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1.md:83;ue_project/ue_framework/methods/sirc_malc_mechanism.py:220,depends_on:CGR-COMPONENT-01;micro_steps:8;evidence:matched initial state/batch/snapshot orchestration test,TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1,TAUSB-MALC-GRAD-GEOMETRY-S0,,not_applicable,,codex/tausb-malc-grad-geometry-audit-v1,354ad58c067968e3e4b6dd220bfdf262fea1fa7a,DECISION-SINK-01,2026-08-10
DECISION-SINK-01,P0,implement,decision,实现预注册 first-bad-boundary 分类器,按 prototype、cross-batch、objective、CGR、carrier、unresolved 固定顺序输出唯一 earliest boundary 和全部触发信号。,六类合成 decision table 全通过；阈值与顺序与 Spec 完全一致；invalid 优先于机制分类；多个触发仍保留全部 flags；不得看真实结果后改判据。,local_cli,karpathy-guidelines,,逐项核对实现、活动参数链、固定阈值与批准 Spec 一致,核对旧 v2 入口、MALC-off A0、no-EOT、held-out 只读与 claim boundary,已完成,已完成,未开始,已提交,codex,docs/research/specs/TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1.md:104,depends_on:MICROTRAJECTORY-01;evidence:preregistered synthetic decision table,TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1,TAUSB-MALC-GRAD-GEOMETRY-S0,,not_applicable,,codex/tausb-malc-grad-geometry-audit-v1,354ad58c067968e3e4b6dd220bfdf262fea1fa7a,HARNESS-CONFIG-01,2026-08-10
HARNESS-CONFIG-01,P0,implement,entrypoint,接入独立 geometry tool、workflow、config 与 artifacts,建立新独立 probe 入口和配置，将固定输入、G0、G1、decision 与七个最小 artifacts 串联，不改旧 v2 入口。,CLI/config->active sinks 可追踪；64/96 split、seed/hash/no-EOT/batch4/warm4/micro8 固定；fresh root fail closed；G0-only 回退可用；旧 tool/config 行为不变。,local_cli,karpathy-guidelines,,逐项核对实现、活动参数链、固定阈值与批准 Spec 一致,核对旧 v2 入口、MALC-off A0、no-EOT、held-out 只读与 claim boundary,已完成,已完成,未开始,已提交,codex,docs/research/specs/TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1.md:122;ue_project/ue_framework/tools/probe_tausb_sirc_malc.py:1,depends_on:DECISION-SINK-01;new_artifact_root:true;evidence:CLI help/config validation/compile,TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1,TAUSB-MALC-GRAD-GEOMETRY-S0,,not_applicable,/root/tausb-sirc-runs/TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1/geometry,codex/tausb-malc-grad-geometry-audit-v1,354ad58c067968e3e4b6dd220bfdf262fea1fa7a,GRAPH-LIFETIME-01,2026-08-10
GRAPH-LIFETIME-01,P0,validate,memory,验证跨 batch graph 生命周期与只读语义,审计 geometry records、projector 和 microtrajectory 仅保存 detached CPU 数据，并验证 held-out、旧 carrier 与原型不被回写。,记录对象不含 requires_grad tensor；逐 batch 释放 observation/loss/route；候选 margin 不在 G0 运行；合成多 batch 内存测试不增长；held-out 和旧 artifacts hash 不变。,local_cli,karpathy-guidelines,,逐项核对实现、活动参数链、固定阈值与批准 Spec 一致,核对旧 v2 入口、MALC-off A0、no-EOT、held-out 只读与 claim boundary,已完成,已完成,已完成,已提交,codex,docs/research/specs/TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1.md:80;ue_project/tests/test_sirc_malc_mechanism_memory.py:1,depends_on:HARNESS-CONFIG-01;regression_for:prior heldout graph OOM;evidence:issues/TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1.validation.md,TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1,TAUSB-MALC-GRAD-GEOMETRY-S0,,not_applicable,,codex/tausb-malc-grad-geometry-audit-v1,354ad58c067968e3e4b6dd220bfdf262fea1fa7a,LOCAL-VALIDATION-01,2026-08-10
LOCAL-VALIDATION-01,P0,validate,validation,执行 focused、完整回归与兼容性验证,运行新单元测试、相关旧 v2 回归、compile、Python3.8 AST/import、config parse、CLI schema dry-run 和真实 VOC 便宜 smoke。,新测试和受影响回归通过；旧 v2 sink 不变；所有活动文件 compile/Python3.8 通过；smoke 仅证明机械链路且不写正式 root；validation gaps 明确。,local_cli,karpathy-guidelines,,逐项核对实现、活动参数链、固定阈值与批准 Spec 一致,核对旧 v2 入口、MALC-off A0、no-EOT、held-out 只读与 claim boundary,已完成,已完成,已完成,已提交,codex,docs/research/specs/TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1.md:134;ue_project/tests/test_malc_mechanism.py:1,depends_on:GRAPH-LIFETIME-01;no_scientific_claim_from_local_tests:true;evidence:27 focused + 158 full regression;validation_gap:no full local real-VOC run,TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1,TAUSB-MALC-GRAD-GEOMETRY-S0,,not_applicable,,codex/tausb-malc-grad-geometry-audit-v1,354ad58c067968e3e4b6dd220bfdf262fea1fa7a,GIT-SNAPSHOT-01,2026-08-10
GIT-SNAPSHOT-01,P0,prepare,git,创建可复现的 geometry probe 代码快照,只显式 stage 本 Spec/CSV/review、新实现、config/tool 和测试，普通提交并普通非 force 推送同名分支。,提交不含数据、权重、remote artifacts、密钥、旧 v2 结果或无关 dirty files；branch/commit 可从远端获取；CSV/review 绑定 commit。,local_cli,research-result-commit,,逐项核对实现、活动参数链、固定阈值与批准 Spec 一致,核对旧 v2 入口、MALC-off A0、no-EOT、held-out 只读与 claim boundary,已完成,已完成,已完成,已提交,codex,docs/research/specs/TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1.md:144;AGENTS.md:1,depends_on:LOCAL-VALIDATION-01;preserve_dirty_worktree:true;no_force_push:true;code_commit:354ad58c067968e3e4b6dd220bfdf262fea1fa7a;remote_branch_verified:true,TAUSB-MALC-GRAD-GEOMETRY-AUDIT-v1,TAUSB-MALC-GRAD-GEOMETRY-S0,,not_applicable,,codex/tausb-malc-grad-geometry-audit-v1,354ad58c067968e3e4b6dd220bfdf262fea1fa7a,REMOTE-INPUTS-01,2026-08-10
